path	vi	ko
destinations.json::[15].highlights[2]	Phần nào hoạt động của nhóm Tam Quảng	땀 꽝(三廣) 그룹 활동의 일부
destinations.json::[16].name	Nhà cổ Tấn Ký	떤끼 고가
destinations.json::[16].description	Nhà cổ Tấn Ký không chỉ đẹp ở kiến trúc mà còn giống như một bảo tàng thu nhỏ với vô vàn cổ vật thú vị	떤끼 고가는 건축이 아름다울 뿐 아니라, 흥미로운 골동품이 가득한 작은 박물관 같습니다.
destinations.json::[16].quizBank[0].question	Chiếc ghe bầu này được sử dụng khi di chuyển ở vùng nước nào?	이 게 바우 배는 어떤 물에서 움직였나요?
destinations.json::[16].quizBank[0].options[0]	Vịnh	만
destinations.json::[16].quizBank[0].options[1]	Biển	바다
destinations.json::[16].quizBank[0].options[2]	Sông	강
destinations.json::[16].quizBank[0].explain	Ghe bầu là loại thương thuyền (thuyền buôn) gỗ cỡ lớn truyền thống từng đóng vai trò huyết mạch trong ngành hàng hải và giao thương ven biển Việt Nam từ thế kỷ 16 đến nửa đầu thế kỷ 20. Thuyền có phần thân phình to ở giữa giống hình quả bầu, mạn cao, đáy bằng hoặc hơi khum, giúp chịu được sóng gió lớn ngoài khơi.	게 바우는 큰 목조 상선으로, 16세기부터 20세기 전반까지 베트남 해운과 연안 교역의 대동맥 구실을 했습니다. 배 가운데가 조롱박처럼 불룩하고 뱃전이 높으며 바닥은 평평하거나 살짝 둥글어, 먼바다의 큰 파도와 바람을 견딜 수 있었습니다.
destinations.json::[16].quizBank[1].question	Hiệu Tấn Ký từng buôn bán những mặt hàng nào?	떤끼 상점은 어떤 물품을 거래했나요?
destinations.json::[16].quizBank[1].options[0]	Y phục	의복
destinations.json::[16].quizBank[1].options[1]	Sách báo	책과 신문
destinations.json::[16].quizBank[1].options[2]	Nông sản	농산물
destinations.json::[16].quizBank[1].explain	Nhà cổ Tấn Ký được xây dựng vào năm 1741 bởi ông Lê Công, một thương nhân gốc Hoa di cư đến Hội An. Ông Lê Công ban đầu kinh doanh hàng nông sản từ miền cao về phố cảng.	떤끼 고가는 1741년, 호이안으로 이주해 온 중국계 상인 레 꽁이 지었습니다. 그는 처음에 산간 지역의 농산물을 항구로 가져와 거래했습니다.
destinations.json::[16].quizBank[2].question	Chiếc cốc này gửi gắm triết lý gì?	이 잔은 어떤 가르침을 담고 있나요?
destinations.json::[16].quizBank[2].options[0]	Biết đủ	만족을 아는 것 (지족)
destinations.json::[16].quizBank[2].options[1]	Nghĩa khí	의로움
destinations.json::[16].quizBank[2].options[2]	Khiêm tốn	겸손
destinations.json::[16].quizBank[2].explain	Chiếc cốc hoạt động dựa trên nguyên lý bình thông nhau và hiệu ứng xifong (siphoning). Ở giữa cốc có một cột nhỏ che giấu một đường ống cong (ống chữ U ngược). Nếu rót quá đầy (vượt quá đỉnh của ống ngầm bên trong), toàn bộ nước trong cốc sẽ tự động chảy sạch qua lỗ nhỏ ở đáy cốc.	이 잔은 연결된 그릇의 원리와 사이펀 효과로 작동합니다. 잔 가운데 작은 기둥이 거꾸로 된 U자 관을 감추고 있어, 관 꼭대기를 넘길 만큼 너무 가득 부으면 잔 속의 물이 바닥의 작은 구멍으로 모두 빠져나갑니다.
destinations.json::[16].short	“Bảo tàng sống” giữ gần như nguyên vẹn kiến trúc đặc trưng nhà cổ Hội An xưa.	옛 호이안 고가의 특징을 거의 그대로 지킨 '살아 있는 박물관'.
destinations.json::[16].highlights[0]	Chén Khổng Tử từ Phước Kiến	푸젠에서 온 공자 잔
destinations.json::[16].highlights[1]	Nội thất gỗ được chạm cầu kỳ	공들여 새긴 목조 실내
destinations.json::[16].highlights[2]	Tính nguyên vẹn của kiến trúc xưa	옛 건축이 온전히 남은 점
destinations.json::[17].name	Hội quán Quảng Triệu	광조 회관 (광둥 회관)
destinations.json::[17].description	Dưới những nếp mái vuông vức là không gian trang nghiêm, được trang trí bằng vô số cổ điển Trung Hoa	네모지게 다듬은 지붕 아래에는 정중한 공간이 있고, 중국 고전의 장면이 수없이 장식되어 있습니다.
destinations.json::[17].quizBank[0].question	Ba người này đang ở đâu?	이 세 사람은 어디에 있나요?
destinations.json::[17].quizBank[0].options[0]	Vườn trúc	대나무 정원
destinations.json::[17].quizBank[0].options[1]	Núi tùng	소나무 산
destinations.json::[17].quizBank[0].options[2]	Vườn đào	복숭아 동산
destinations.json::[17].quizBank[0].explain	Bức tranh vẽ cảnh kết nghĩa vườn đào của ba anh em Lưu Bị, Quan Vũ và Trương Phi với lời thề "Tuy không sinh cùng ngày cùng tháng cùng năm, nhưng nguyện chết cùng ngày cùng tháng cùng năm", nguyện dốc sức vì nước, cứu dân an đời.	그림은 유비, 관우, 장비 세 형제의 도원결의를 담았습니다. “같은 날 같은 달 같은 해에 태어나지는 않았으나, 같은 날 같은 달 같은 해에 죽기를 원한다”는 맹세와 함께 나라를 위해 힘을 다하고 백성을 구하겠다고 다짐합니다.
destinations.json::[17].quizBank[1].question	Trong ba nhân vật, ai là Quan Vũ?	세 인물 가운데 누가 관우인가요?
destinations.json::[17].quizBank[1].options[0]	Người có mặt đỏ	얼굴이 붉은 사람
destinations.json::[17].quizBank[1].options[1]	Người ở giữa có tai to	가운데 귀가 큰 사람
destinations.json::[17].quizBank[1].options[2]	Người có mặt đen	얼굴이 검은 사람
destinations.json::[17].quizBank[1].explain	Trong truyện Tam Quốc có 2 câu đối nhắc tới sắc đỏ gắn liền với Quan Vũ: “Xích diện bỉnh xích tâm, kỵ Xích Thố truy phong, trì khu thời vô vong Xích Đế / Thanh đăng quan thanh sử, trượng thanh long yển nguyệt, ẩn vi xứ bất uý thanh thiên”. Theo bản dịch của Phan Kế Bính: “Bộ mặt đỏ giữ tấm lòng đỏ, cưỡi ngựa Thỏ Đỏ truy phong, lúc ruổi rong không quên nhớ Vua Đỏ / Ngọn đèn xanh xem bộ sử xanh, cầm đao yển nguyệt rồng xanh, nơi kín đáo chẳng thẹn với trời xanh.”	『삼국지』에는 관우와 이어진 붉은색을 말하는 대련이 둘 있습니다. “적면병적심(赤面秉赤心), 기적토추풍(騎赤兔追風), 치구시무망적제(馳驅時無忘赤帝) / 청등관청사(靑燈觀靑史), 장청룡언월(仗靑龍偃月), 은미처불외청천(隱微處不畏靑天).” 판 께 빈의 번역으로는 “붉은 얼굴에 붉은 마음을 지키고, 바람을 쫓는 적토마를 타고, 달릴 때에도 붉은 임금을 잊지 않는다 / 푸른 등불로 푸른 역사를 보고, 청룡언월도를 잡고, 은밀한 곳에서도 푸른 하늘에 부끄럽지 않다.”
destinations.json::[17].quizBank[2].question	Nhân vật nữ này đang bưng thức quả gì?	이 여성 인물이 받쳐 든 과일은 무엇인가요?
destinations.json::[17].quizBank[2].options[0]	Quả hồng	감
destinations.json::[17].quizBank[2].options[1]	Quả đào	복숭아
destinations.json::[17].quizBank[2].options[2]	Quả phật thủ	불수감
destinations.json::[17].quizBank[2].explain	Bức tranh “Ma Cô hiến thọ” vẽ lại cảnh tiên nữ Ma Cô mang đào tiên chúc thọ Tây Vương Mẫu. Đây chính là hình ảnh trang trí quen thuộc trên những chiếc đĩa cô tiên. Trong bức tranh ở Hội quán Quảng Triệu còn xuất hiện mô-típ tùng và hạc.	'마고헌수(麻姑獻壽)' 그림은 선녀 마고가 선도(仙桃)를 들고 서왕모의 장수를 축원하는 장면입니다. 신선 그림 접시에 자주 등장하는 낯익은 도안이기도 합니다. 광조 회관의 이 그림에는 소나무와 학의 모티프도 함께 나옵니다.
destinations.json::[17].short	Từng là nơi hội họp của các thương nhân Quảng Đông, một hội quán uy nghi, bề thế, và mực thước trong kể chuyện.	광둥 상인들이 모이던 곳 — 위엄 있고 규모가 크며, 이야기를 절제 있게 들려주는 회관.
destinations.json::[17].highlights[0]	Tác phẩm “ngư long hý thuỷ”	'어룡희수(魚龍戲水)' 작품
destinations.json::[17].highlights[1]	Các bức tranh minh hoạ tích truyện Quan Công	관공 이야기를 그린 그림들
destinations.json::[17].highlights[2]	Các chi tiết hoa trái mang tính biểu tượng	상징을 담은 꽃과 열매의 세부
destinations.json::[18].name	Hội quán Phúc Kiến	복건 회관
destinations.json::[18].description	Hội quán tráng lệ nhất phố Hội, với những chi tiết trang trí tinh xảo, tái hiện hải trình của những thương nhân Phước Kiến cùng lòng thành kính với Thiên Hậu Thánh Mẫu.	호이안에서 가장 화려한 회관입니다. 정교한 장식으로 복건 상인들의 항해를 되살리고, 천후성모(天后聖母)를 향한 정성을 담았습니다.
destinations.json::[18].quizBank[0].question	Hình ảnh nào dưới đây là mái của Hội quán Phước Kiến?	아래 사진 가운데 복건 회관의 지붕은 어느 것인가요?
destinations.json::[18].quizBank[0].options[0]	Ảnh 1	사진 1
destinations.json::[18].quizBank[0].options[1]	Ảnh 3	사진 3
destinations.json::[18].quizBank[0].options[2]	Ảnh 2	사진 2
destinations.json::[18].quizBank[0].explain	Khác với kiểu nóc mái thẳng tắp của Quảng Đông, kiến trúc mái đặc trưng của vùng Phúc Kiến có bờ nóc võng xuống như con thuyền đang cưỡi sóng. Phần trang trí cũng công phu hơn so với các hội quán khác.	곧게 뻗은 광둥식 용마루와 달리, 복건 지방의 지붕은 용마루가 파도를 타는 배처럼 가운데가 처집니다. 장식도 다른 회관들보다 공을 더 들였습니다.
destinations.json::[18].quizBank[1].question	Tại sao Hội quán Phước Kiến và nhiều hội quán khác của người Hoa lại thờ bà Thiên Hậu? Gợi ý: Hãy quan sát những bức tranh và mô hình trong hội quán	복건 회관과 여러 화교 회관은 왜 천후(天后)를 모시나요? 힌트: 회관 안의 그림과 모형을 살펴보세요
destinations.json::[18].quizBank[1].options[0]	Để tưởng nhớ công dẹp giặc	적을 물리친 공을 기리려고
destinations.json::[18].quizBank[1].options[1]	Để cầu bình an khi đi biển	바닷길의 무사함을 빌려고
destinations.json::[18].quizBank[1].options[2]	Để cầu tài lộc	재물과 복을 빌려고
destinations.json::[18].quizBank[1].explain	Ngay sau khi bước vào tiền điện, du khách sẽ thấy ở phía tường Đông là bích họa Thiên Hậu Thánh Mẫu cùng đệ tử cầm đèn lồng vượt sóng gió đến cứu người bị nạn và ở phía tường Tây là bích họa Lục Tánh Vương Gia cưỡi ngựa xung trận. Bên trong chính điện có mô hình thương thuyền được trang trí kỳ công với một gian thờ Thiên Hậu trên thuyền.	전전(前殿)에 들어서면 동쪽 벽에 천후성모가 제자들과 등롱을 들고 풍랑을 헤쳐 조난자를 구하러 가는 벽화가, 서쪽 벽에는 육성왕가(六姓王爺)가 말을 타고 전장에 나서는 벽화가 있습니다. 정전 안에는 정교하게 꾸민 상선 모형이 있고, 배 위에 천후를 모신 감실이 있습니다.
destinations.json::[18].quizBank[2].question	Hai vị thần được thờ phụng trong chính điện cùng Bà Thiên Hậu là ai?	정전에서 천후와 함께 모셔진 두 신은 누구인가요?
destinations.json::[18].quizBank[2].options[0]	Thanh Long - Bạch Hổ	청룡 · 백호
destinations.json::[18].quizBank[2].options[1]	Thần Đồ - Uất Lũy	신도 · 울루
destinations.json::[18].quizBank[2].options[2]	Thiên Lý Nhãn - Thuận Phong Nhĩ	천리안 · 순풍이
destinations.json::[18].quizBank[2].explain	Hai vị thần phò tá Thiên Hậu Thánh Mẫu là Thiên Lý Nhãn và Thuận Phong Nhĩ. Thiên Lý Nhãn có thể nhìn thấy mọi việc ở khoảng cách rất xa, giúp Bà phát hiện tàu thuyền gặp nạn trên biển, còn Thuận Phong Nhĩ có thể nghe được tiếng kêu cứu từ muôn nơi theo chiều gió.	천후성모를 돕는 두 신은 천리안과 순풍이입니다. 천리안은 아주 먼 곳의 일까지 볼 수 있어 바다에서 조난한 배를 찾아내고, 순풍이는 바람을 따라 어디서든 들려오는 구조 요청을 들을 수 있습니다.
destinations.json::[18].quizBank[3].question	Những đôi giày trong tủ kính dành cho ai?	유리장 안의 저 신들은 누구를 위한 것인가요?
destinations.json::[18].quizBank[3].options[0]	Những người phụ nữ bó chân gót sen	전족을 한 여성들
destinations.json::[18].quizBank[3].options[1]	Tượng thờ các vị thần	신상(神像)들
destinations.json::[18].quizBank[3].options[2]	Vũ công múa thủy tụ	수수(水袖) 춤을 추는 무희들
destinations.json::[18].quizBank[3].explain	Tủ kính trưng bày các vật dụng của người Hoa xưa. Những đôi giày trong tủ được dùng khi bó chân gót sen. Tập tục này bắt đầu từ thời nhà Tống, được coi là biểu tượng của cái đẹp và địa vị. Đến thời nhà Thanh, tuy lệnh cấm được ban hành, song ít người tuân thủ. Đến thế kỷ XIX, có khoảng một nửa phụ nữ Trung Hoa thực hành bó chân.	유리장에는 옛 화교의 생활 도구가 전시되어 있습니다. 그 안의 신은 전족을 한 발에 신던 것입니다. 이 풍습은 송대에 시작되어 아름다움과 신분의 상징으로 여겨졌습니다. 청대에는 금지령이 내려졌지만 지키는 이가 적었고, 19세기에는 중국 여성의 절반쯤이 전족을 했습니다.
destinations.json::[18].quizBank[4].question	Bức tranh vẽ những đứa trẻ này được tìm thấy ở đâu?	아이들을 그린 이 그림은 어디에서 볼 수 있나요?
destinations.json::[18].quizBank[4].options[0]	Nhà Đông	동쪽 건물
destinations.json::[18].quizBank[4].options[1]	Án thờ 3 bà Chúa Sanh thai và 12 bà mụ	삼위 생육 여신과 열두 산파의 제단
destinations.json::[18].quizBank[4].options[2]	Án thờ Lục Tánh vương gia	육성왕가의 제단
destinations.json::[18].quizBank[4].explain	Ba bà Chúa Sanh thai (Tam Tiêu Nương Nương) và 12 bà mụ lo việc tạo hình hài, ban phước, bảo trợ cho việc cầu tự (cầu con), thai kỳ bình an và mẹ tròn con vuông. Tượng 12 bà mụ thường khắc họa các vị trong các động tác chăm sóc, bồng bế trẻ thơ khác nhau.	삼위 생육 여신(삼소낭낭)과 열두 산파는 아이의 몸을 이루고 복을 내리며, 자식 구하기, 순한 임신, 무사한 출산을 돕습니다. 열두 산파의 상은 흔히 아기를 돌보고 안는 여러 자세로 표현됩니다.
destinations.json::[18].short	Hội quán tráng lệ nhất với những chi tiết trang trí tinh xảo làm từ gốm sứ và nhiều chất liệu khác.	도자기와 여러 재료로 만든 정교한 장식이 가장 화려한 회관.
destinations.json::[18].highlights[0]	Cổng tam quan uy nghi	위엄 있는 삼관문
destinations.json::[18].highlights[1]	Mô hình thương thuyền vượt biển sống động	바다를 건너는 상선 모형
destinations.json::[18].highlights[2]	Hoành phi và liễn đối do Ngô Lỗ, Trạng nguyên cuối cùng của lịch sử Tuyền Châu (Phước Kiến), cúng vào năm 1897	1897년 오로(吳魯) — 취안저우(복건) 역사상 마지막 장원 — 가 바친 편액과 대련
destinations.json::[19].name	Hội quán Hải Nam	해남 회관
destinations.json::[19].description	Sinh sau đẻ muộn và hiếm khi được ngợi ca là tráng lệ hay lộng lẫy, Hội quán Hải Nam như một cuốn sử phong phú khiến người ta ngỡ ngàng một khi bước vào trong.	늦게 세워졌고 화려하다는 칭찬은 좀처럼 듣지 못하지만, 해남 회관은 안으로 들어서는 순간 놀라게 하는 두꺼운 역사책 같습니다.
destinations.json::[19].quizBank[0].question	Trong hai con lân này, con nào là lân đực và con nào là lân cái?	이 두 기린상 가운데 어느 것이 암컷이고 어느 것이 수컷인가요?
destinations.json::[19].quizBank[0].options[0]	Cả A và B đều là lân đực	A와 B 모두 수컷
destinations.json::[19].quizBank[0].options[1]	A là lân cái, B là lân đực	A는 암컷, B는 수컷
destinations.json::[19].quizBank[0].options[2]	A là lân đực, B là lân cái	A는 수컷, B는 암컷
destinations.json::[19].quizBank[0].explain	Thông thường, lân đực được khắc họa trong tư thế “lân hí cầu” với quả cầu tượng trưng cho mặt trời dưới chân, còn lân cái trong tư thế "lân giáo tử", dùng chân trước ôm ngang lưng con lân con. Tượng lân cũng được sắp đặt theo nguyên tắc “nam tả nữ hữu”, trong đó lân cái nằm ở phía tay phải nhìn từ trong chính điện ra. Bức tường phía ngoài hội quán cũng có hai bức phù điêu lân mang bát bảo và kỳ mang ám bát tiên.	보통 수컷은 발 아래에 해를 뜻하는 공을 두고 '기린희구(麒麟戲球)' 자세로, 암컷은 앞발로 새끼의 허리를 감싸는 '기린교자(麒麟敎子)' 자세로 새깁니다. 상의 배치도 '남좌여우(男左女右)'를 따르므로, 정전 안에서 밖을 바라볼 때 암컷이 오른쪽에 있습니다. 회관 바깥 담에도 팔보(八寶)를 지닌 기린과 암팔선(暗八仙)을 지닌 기(麒) 부조가 각각 있습니다.
destinations.json::[19].quizBank[1].question	Tại sao Hội quán Hải Nam lại thờ 108 vị Chiêu Ứng Công?	해남 회관은 왜 초응공 108위를 모시나요?
destinations.json::[19].quizBank[1].options[0]	Tưởng nhớ oai linh 108 vị anh hùng Lương Sơn Bạc đứng lên chống lại cái ác	악에 맞선 양산박 108 영웅의 위엄을 기리려고
destinations.json::[19].quizBank[1].options[1]	Tưởng nhớ công ơn 108 tiền hiền đã đặt nền móng cho sự phát triển của bang Hải Nam	해남 방(帮)의 기틀을 놓은 선현 108위의 공을 기리려고
destinations.json::[19].quizBank[1].options[2]	Tưởng nhớ vong linh 108 vị thương buôn chết oan đã hiển linh phù hộ thuyền bè trên biển	억울하게 죽은 뒤 바다에서 배를 지켜 준 상인 108위의 넋을 기리려고
destinations.json::[19].quizBank[1].explain	Mùa hạ năm 1851, 108 thương buôn người Hải Nam đã bị một số quan binh triều Nguyễn sát hại vì coi là cướp biển. Vua Tự Đức khi biết chuyện đã minh oan và sắc phong cho các vị là Chiêu Ứng Anh Liệt. Cặp liễn đối hai bên hương án chính có nghĩa: Khí khái tụ thành thần, theo dấu anh linh do oan trái; Đức độ xây nên miếu, thương kẻ đồng hương ở chốn xa.	1851년 여름, 해남 상인 108명이 해적으로 오인되어 응우옌 조정의 일부 관군에게 살해되었습니다. 뒤에 이를 알게 된 뜨득 황제가 무죄를 밝히고 '초응영렬(昭應英烈)'로 봉했습니다. 주 향안 양쪽 대련의 뜻은 이렇습니다. “기개는 모여 신이 되었으니, 억울함이 남긴 영령의 자취를 따르고; 덕은 쌓여 사당을 세웠으니, 먼 곳에 있는 같은 고향 사람을 아낀다.”
destinations.json::[19].quizBank[2].question	Bao lam (cửa võng, rèm gỗ) ở cửa chính điện có đề tài gì?	정전 문 위 바오람(목조 장식 커튼)의 주제는 무엇인가요?
destinations.json::[19].quizBank[2].options[0]	Tùng thử bồ đào (sóc và dây nho)	송서포도 (다람쥐와 포도 덩굴)
destinations.json::[19].quizBank[2].options[1]	Hoa - điểu (hoa và chim muông)	화조 (꽃과 새)
destinations.json::[19].quizBank[2].options[2]	Tùng - hạc	송학 (소나무와 학)
destinations.json::[19].quizBank[2].explain	Tùng Thử Bồ Đào (松鼠葡萄) là đề tài kinh điển biểu trưng cho phú quý – sung túc – vạn sự hưng long. Hình ảnh sóc trèo nho thể hiện sự sinh sôi – đông con cháu, là lời chúc cát tường cho gia đạo thịnh vượng.	송서포도(松鼠葡萄)는 부귀와 넉넉함, 만사가 흥하기를 나타내는 고전적인 주제입니다. 다람쥐가 포도 덩굴을 타는 모습은 번식과 자손의 번성을 뜻하며, 집안이 흥하기를 바라는 길상의 인사입니다.
destinations.json::[19].short	Hội quán giản dị song lại mang những chi tiết độc nhất, chứa đựng bề dày văn hoá Trung Hoa.	소박하지만 유일무이한 세부를 지닌 회관 — 중국 문화의 두께가 담겨 있습니다.
destinations.json::[19].highlights[0]	Khúc bi hùng ca của 108 vị Chiêu Ứng Công	초응공(昭應公) 108위의 비장한 노래
destinations.json::[19].highlights[1]	Hương án chính thếp vàng, được chạm lộng tinh vi với nhiều đề tài văn hoá	금박을 입힌 주 향안 — 여러 문화 주제를 정교하게 투각
destinations.json::[19].highlights[2]	Bộ cửa vẽ lại điển tích “Nhị thập tứ hiếu”	'이십사효(二十四孝)' 이야기를 그린 문짝
destinations.json::[19].highlights[3]	Kiến trúc song mái độc nhất tại Hội An	호이안에서 유일한 겹지붕 구조
destinations.json::[20].name	Hội quán Triều Châu	조주 회관
destinations.json::[20].description	Hội quán Triều Châu sinh động với các chi tiết chạm gỗ trứ danh của người Tiều. Đề tài trang trí phong phú, tạo hình sáng tạo.	조주 회관은 조주(潮州) 사람들의 이름난 목조 조각으로 생기가 넘칩니다. 장식 주제가 풍부하고 형상이 창의적입니다.
destinations.json::[20].quizBank[0].question	Bạn có thể đi tìm chú ngựa này không? Người bạn của chú có bộ lông màu gì?	이 말을 찾아보실래요? 이 말의 짝은 어떤 색 털인가요?
destinations.json::[20].quizBank[0].options[0]	Trắng	흰색
destinations.json::[20].quizBank[0].options[1]	Đen	검정
destinations.json::[20].quizBank[0].options[2]	Nâu	갈색
destinations.json::[20].quizBank[1].question	Hình ảnh này là đặc trưng của mùa nào?	이 그림은 어느 계절을 나타내나요?
destinations.json::[20].quizBank[1].options[0]	Hạ	여름
destinations.json::[20].quizBank[1].options[1]	Thu	가을
destinations.json::[20].quizBank[1].options[2]	Xuân	봄
destinations.json::[20].quizBank[1].explain	Ở Trung Quốc, tứ quý danh hoa là "Xuân Lan - Hạ Hà - Thu Cúc - Đông Mai". Trong đó "Lan" là lan kiếm, "Hà" là sen, "Cúc" vẫn là cúc, còn "Mai" là mơ.	중국에서 사계절의 네 명화(名花)는 '춘란 - 하하 - 추국 - 동매'입니다. 여기서 '란'은 검란(劍蘭), '하'는 연꽃, '국'은 국화, '매'는 매화입니다.
destinations.json::[20].quizBank[2].question	Trên phần mái tiền điện có những đề tài trang trí gì?	전전(前殿) 지붕에는 어떤 장식 주제가 있나요?
destinations.json::[20].quizBank[2].options[0]	Lưỡng long tranh bình hồ lô, ông Nhật - bà Nguyệt, các linh thú	두 용이 호로병을 다투는 도안, 해와 달의 신, 여러 영수(靈獸)
destinations.json::[20].quizBank[2].options[1]	Lưỡng long triều dương, cá chép vượt long môn, bát tiên quá hải	두 용이 해를 향하는 도안, 잉어가 용문을 뛰어오르는 도안, 팔선과해
destinations.json::[20].quizBank[2].options[2]	Lưỡng long tranh châu, lục quốc phong tướng	두 용이 여의주를 다투는 도안, 육국봉장
destinations.json::[20].quizBank[2].explain	Bên cạnh các đồ án lưỡng long hay cá chép vượt long môn, đồ án bát tiên quá hải cũng rất được ưa chuộng trong các kiến trúc của người Hoa. Bát tiên quá hải (tám vị tiên vượt biển) kể về hành trình 8 vị tiên dùng phép thuật và pháp bảo để vượt qua đại dương. Tất cả những pháp khí mà 8 vị tiên sử dụng gọi chung là Ám bát tiên, cũng là một đề tài trang trí phổ biến. Bảo vật ngư cổ của Trương Quả Lão nói về mạng sống của con người. Lã Động Tân mang bảo kiếm có thể ngăn cản tà ma. Cây sáo của Hàn Tương Tử có thể khiến vạn vật sinh sôi và nảy nở. Hà Tiên Cô có hoa sen có thể tu thân dưỡng tính. Hồ lô của Thiết Quản Lý có thể cứu giúp chúng sanh. Quạt của Hán Chung Ly có thể làm hồi sinh. Tấm ngọc của Tào Quốc Cửu có thể làm mọi vật trở nên trong sạch. Giỏ của Lam Thái Hòa có thể quảng thông thần minh.	두 용 도안이나 잉어가 용문을 뛰어오르는 도안 외에, 팔선과해(八仙過海)도 화교 건축에서 매우 즐겨 쓰였습니다. 팔선과해는 여덟 신선이 술법과 법기(法器)로 큰 바다를 건너는 이야기입니다. 여덟 신선이 쓰는 법기를 모두 묶어 암팔선(暗八仙)이라 하며, 이 또한 흔한 장식 주제입니다. 장과로의 어고(魚鼓)는 사람의 목숨을 말합니다. 여동빈의 보검은 사악한 기운을 막습니다. 한상자의 피리는 만물을 자라나게 합니다. 하선고의 연꽃은 몸과 마음을 닦게 합니다. 철관리의 호로는 중생을 구합니다. 한종리의 부채는 죽은 이를 되살립니다. 조국구의 옥판은 모든 것을 맑게 합니다. 남채화의 바구니는 신명과 널리 통하게 합니다.
destinations.json::[20].short	Hội quán rực rỡ nhất với các họa tiết trang trí gỗ phức tạp có tạo hình phong phú trong tầm mắt.	눈앞에 가장 화려한 회관 — 복잡하고 형상이 풍부한 목조 무늬.
destinations.json::[20].highlights[0]	Trang trí khác nhau ở hai bên vì kèo	서로 다른 두 쪽 서까래 장식
destinations.json::[20].highlights[1]	Khám thờ và bao lam chạm nhiều điển tích	여러 고사를 새긴 신감(神龕)과 바오람
destinations.json::[20].highlights[2]	Hệ cửa chạm gỗ và vẽ kính sáng tạo	목조 조각과 유리 그림을 창의적으로 쓴 문 세트
destinations.json::[21].name	Đình Cẩm Phô	껌포 마을회관 (딘 껌포)
destinations.json::[21].description	Đình Cẩm Phô là nơi ghi dấu rõ nhất tinh thần cởi mở và chan hoà của thương cảng này. Liễn đối trước Hương Hiền tự ghi: “Lễ nhạc uy nghi kính như thần tại. Âu ca cổ vũ lạc tại nhân hòa”, có nghĩa: Lễ nghi và âm nhạc uy nghiêm, lòng thành kính như thần linh đang hiện diện. Hát ca và múa trống tưng bừng, niềm vui thực sự nằm ở sự hòa hợp của lòng người.	딘 껌포는 이 항구의 열린 마음과 어울림을 가장 또렷하게 남긴 자리입니다. 향현사(香賢祠) 앞 대련에는 이렇게 적혀 있습니다. “예악(禮樂)이 위엄 있어 공경함이 신이 계신 듯하고, 노래와 북춤이 흥겨우니 참된 즐거움은 사람의 마음이 어울리는 데 있다.”
destinations.json::[21].quizBank[0].question	Mái của phương đình được trang trí với bao nhiêu con phượng?	방정(方亭) 지붕에는 봉황이 몇 마리 장식되어 있나요?
destinations.json::[21].quizBank[0].options[0]	9 con	9마리
destinations.json::[21].quizBank[0].options[1]	10 con	10마리
destinations.json::[21].quizBank[0].options[2]	8 con	8마리
destinations.json::[21].quizBank[0].explain	Đình có một hệ thống các con giống được tạo hình rất sinh động và độc đáo trang trí cho các bộ phận kiến trúc. Nổi bật là 9 hình chim phượng trên phương đình. Trong phong thuỷ, phượng gắn liền với hành Hỏa, mùa hạ và hướng Nam, mang lại may mắn, cát khí và cơ hội phát triển. Cơ thể của phượng đại diện cho 5 phẩm chất cao quý gồm: đức hạnh (ngay thẳng), lòng nhân đạo (lương thiện), sự công bằng, tính đáng tin (chung thủy) và sự khoan đại.	이 마을회관에는 건축 부재마다 아주 생생하고 독특하게 형상화한 영물들이 있습니다. 그중 방정 위의 봉황 9마리가 눈에 띕니다. 풍수에서 봉황은 화(火), 여름, 남쪽과 이어져 행운과 길한 기운, 성장의 기회를 가져옵니다. 봉황의 몸은 다섯 가지 고귀한 덕 — 덕행(곧음), 인도(선함), 공정, 신뢰(정절), 관대 — 를 나타냅니다.
destinations.json::[21].quizBank[1].question	Tại sao Đình Cẩm Phô lại có tên Cẩm Phô Hương Hiền?	딘 껌포는 왜 '껌포 향현(香賢)'이라는 이름을 갖게 되었나요?
destinations.json::[21].quizBank[1].options[0]	Đình lưu giữ các ký ức từ xa xưa	아주 먼 옛날의 기억을 간직하고 있어서
destinations.json::[21].quizBank[1].options[1]	Đình có thờ các vị tiền hiền, hậu hiền làng Cẩm Phô	껌포 마을의 선현과 후현을 모시고 있어서
destinations.json::[21].quizBank[1].options[2]	Đình là nơi tổ chức sinh hoạt văn hoá truyền thống	전통 문화 행사를 여는 곳이어서
