path	vi	ja
destinations.json::[17].quizBank[1].explain	Trong truyện Tam Quốc có 2 câu đối nhắc tới sắc đỏ gắn liền với Quan Vũ: “Xích diện bỉnh xích tâm, kỵ Xích Thố truy phong, trì khu thời vô vong Xích Đế / Thanh đăng quan thanh sử, trượng thanh long yển nguyệt, ẩn vi xứ bất uý thanh thiên”. Theo bản dịch của Phan Kế Bính: “Bộ mặt đỏ giữ tấm lòng đỏ, cưỡi ngựa Thỏ Đỏ truy phong, lúc ruổi rong không quên nhớ Vua Đỏ / Ngọn đèn xanh xem bộ sử xanh, cầm đao yển nguyệt rồng xanh, nơi kín đáo chẳng thẹn với trời xanh.”	『三国』には関羽と赤を結ぶ対句が二つあります。「赤面赤心を秉り、赤兎に騎して風を追い、馳駆の時も赤帝を忘れず／青灯に青史を観、青竜偃月を仗り、隠微の処も青天に愧じず」。ファン・ケー・ビンの訳では「赤い顔に赤い心を守り、風を追う赤兎に乗り、駆けるときも赤帝を忘れない／青い灯で青い史を読み、青竜偃月刀を持ち、人目のない所でも青天に恥じない」。
destinations.json::[17].quizBank[2].question	Nhân vật nữ này đang bưng thức quả gì?	この女性の人物が捧げている果物は何ですか？
destinations.json::[17].quizBank[2].options[0]	Quả hồng	柿
destinations.json::[17].quizBank[2].options[1]	Quả đào	桃
destinations.json::[17].quizBank[2].options[2]	Quả phật thủ	仏手柑
destinations.json::[17].quizBank[2].explain	Bức tranh “Ma Cô hiến thọ” vẽ lại cảnh tiên nữ Ma Cô mang đào tiên chúc thọ Tây Vương Mẫu. Đây chính là hình ảnh trang trí quen thuộc trên những chiếc đĩa cô tiên. Trong bức tranh ở Hội quán Quảng Triệu còn xuất hiện mô-típ tùng và hạc.	「麻姑献寿」の絵は、仙女麻姑が仙桃を捧げて西王母の長寿を祝う場面です。仙人を描いた皿の飾りとしてもよく見られます。広肇会館のこの絵には松と鶴の意匠も現れます。
destinations.json::[17].short	Từng là nơi hội họp của các thương nhân Quảng Đông, một hội quán uy nghi, bề thế, và mực thước trong kể chuyện.	広東の商人が集った場所——威厳があり堂々として、物語の語り口に節度のある会館。
destinations.json::[17].highlights[0]	Tác phẩm “ngư long hý thuỷ”	「魚龍戯水」の作
destinations.json::[17].highlights[1]	Các bức tranh minh hoạ tích truyện Quan Công	関公の物語を描いた絵
destinations.json::[17].highlights[2]	Các chi tiết hoa trái mang tính biểu tượng	象徴をこめた花と果実の細部
destinations.json::[18].name	Hội quán Phúc Kiến	福建会館
destinations.json::[18].description	Hội quán tráng lệ nhất phố Hội, với những chi tiết trang trí tinh xảo, tái hiện hải trình của những thương nhân Phước Kiến cùng lòng thành kính với Thiên Hậu Thánh Mẫu.	会安でもっとも華やかな会館。精緻な装飾で福建商人の航海をよみがえらせ、天后聖母への篤い敬いを込めています。
destinations.json::[18].quizBank[0].question	Hình ảnh nào dưới đây là mái của Hội quán Phước Kiến?	下の写真のうち、福建会館の屋根はどれですか？
destinations.json::[18].quizBank[0].options[0]	Ảnh 1	写真 1
destinations.json::[18].quizBank[0].options[1]	Ảnh 3	写真 3
destinations.json::[18].quizBank[0].options[2]	Ảnh 2	写真 2
destinations.json::[18].quizBank[0].explain	Khác với kiểu nóc mái thẳng tắp của Quảng Đông, kiến trúc mái đặc trưng của vùng Phúc Kiến có bờ nóc võng xuống như con thuyền đang cưỡi sóng. Phần trang trí cũng công phu hơn so với các hội quán khác.	広東の真っすぐな棟とは違い、福建の屋根は棟の中央が波を越える舟のようにたわみます。装飾もほかの会館より手が込んでいます。
destinations.json::[18].quizBank[1].question	Tại sao Hội quán Phước Kiến và nhiều hội quán khác của người Hoa lại thờ bà Thiên Hậu? Gợi ý: Hãy quan sát những bức tranh và mô hình trong hội quán	福建会館や多くの華人会館はなぜ天后を祀るのですか？ ヒント：館内の絵と模型を見てください
destinations.json::[18].quizBank[1].options[0]	Để tưởng nhớ công dẹp giặc	賊を退けた功をたたえるため
destinations.json::[18].quizBank[1].options[1]	Để cầu bình an khi đi biển	海路の安全を祈るため
destinations.json::[18].quizBank[1].options[2]	Để cầu tài lộc	財と福を求めるため
destinations.json::[18].quizBank[1].explain	Ngay sau khi bước vào tiền điện, du khách sẽ thấy ở phía tường Đông là bích họa Thiên Hậu Thánh Mẫu cùng đệ tử cầm đèn lồng vượt sóng gió đến cứu người bị nạn và ở phía tường Tây là bích họa Lục Tánh Vương Gia cưỡi ngựa xung trận. Bên trong chính điện có mô hình thương thuyền được trang trí kỳ công với một gian thờ Thiên Hậu trên thuyền.	前殿に入ると、東の壁には天后聖母が弟子と提灯を持ち、風波を越えて遭難者を救いに向かう壁画、西の壁には六姓王爺が馬に乗り出陣する壁画があります。本殿の中には手の込んだ商船の模型があり、船上に天后を祀る一間が設けられています。
destinations.json::[18].quizBank[2].question	Hai vị thần được thờ phụng trong chính điện cùng Bà Thiên Hậu là ai?	本殿で天后とともに祀られている二神は誰ですか？
destinations.json::[18].quizBank[2].options[0]	Thanh Long - Bạch Hổ	青龍・白虎
destinations.json::[18].quizBank[2].options[1]	Thần Đồ - Uất Lũy	神荼・鬱塁
destinations.json::[18].quizBank[2].options[2]	Thiên Lý Nhãn - Thuận Phong Nhĩ	千里眼・順風耳
destinations.json::[18].quizBank[2].explain	Hai vị thần phò tá Thiên Hậu Thánh Mẫu là Thiên Lý Nhãn và Thuận Phong Nhĩ. Thiên Lý Nhãn có thể nhìn thấy mọi việc ở khoảng cách rất xa, giúp Bà phát hiện tàu thuyền gặp nạn trên biển, còn Thuận Phong Nhĩ có thể nghe được tiếng kêu cứu từ muôn nơi theo chiều gió.	天后聖母を助ける二神は千里眼と順風耳です。千里眼は遠く離れた出来事まで見て、海で難に遭った船を見つけ、順風耳は風に乗ってどこからでも助けを求める声を聞き取ります。
destinations.json::[18].quizBank[3].question	Những đôi giày trong tủ kính dành cho ai?	ガラスケースの中のこの靴は誰のためのものですか？
destinations.json::[18].quizBank[3].options[0]	Những người phụ nữ bó chân gót sen	足を縛った女性たち
destinations.json::[18].quizBank[3].options[1]	Tượng thờ các vị thần	神像
destinations.json::[18].quizBank[3].options[2]	Vũ công múa thủy tụ	水袖の舞い手
destinations.json::[18].quizBank[3].explain	Tủ kính trưng bày các vật dụng của người Hoa xưa. Những đôi giày trong tủ được dùng khi bó chân gót sen. Tập tục này bắt đầu từ thời nhà Tống, được coi là biểu tượng của cái đẹp và địa vị. Đến thời nhà Thanh, tuy lệnh cấm được ban hành, song ít người tuân thủ. Đến thế kỷ XIX, có khoảng một nửa phụ nữ Trung Hoa thực hành bó chân.	ガラスケースにはかつての華人の生活道具が並びます。中の靴は足を縛った纏足のために履かれたものです。この習俗は宋の時代に始まり、美と身分の象徴とされました。清代に禁令が出ましたが守る人は少なく、19世紀には中国の女性のおよそ半数が纏足をしていました。
destinations.json::[18].quizBank[4].question	Bức tranh vẽ những đứa trẻ này được tìm thấy ở đâu?	子どもたちを描いたこの絵はどこにありますか？
destinations.json::[18].quizBank[4].options[0]	Nhà Đông	東の建物
destinations.json::[18].quizBank[4].options[1]	Án thờ 3 bà Chúa Sanh thai và 12 bà mụ	三柱の生育の女神と十二の産婆の祭壇
destinations.json::[18].quizBank[4].options[2]	Án thờ Lục Tánh vương gia	六姓王爺の祭壇
destinations.json::[18].quizBank[4].explain	Ba bà Chúa Sanh thai (Tam Tiêu Nương Nương) và 12 bà mụ lo việc tạo hình hài, ban phước, bảo trợ cho việc cầu tự (cầu con), thai kỳ bình an và mẹ tròn con vuông. Tượng 12 bà mụ thường khắc họa các vị trong các động tác chăm sóc, bồng bế trẻ thơ khác nhau.	三柱の生育の女神（三霄娘娘）と十二の産婆は、子の体を形づくり福を授け、子授け・安胎・無事な出産を守ります。十二の産婆の像は、赤子を世話し抱くさまざまな姿で表されます。
destinations.json::[18].short	Hội quán tráng lệ nhất với những chi tiết trang trí tinh xảo làm từ gốm sứ và nhiều chất liệu khác.	陶片やさまざまな素材による精緻な装飾でもっとも華やかな会館。
destinations.json::[18].highlights[0]	Cổng tam quan uy nghi	堂々とした三門
destinations.json::[18].highlights[1]	Mô hình thương thuyền vượt biển sống động	海を越える商船の生き生きした模型
destinations.json::[18].highlights[2]	Hoành phi và liễn đối do Ngô Lỗ, Trạng nguyên cuối cùng của lịch sử Tuyền Châu (Phước Kiến), cúng vào năm 1897	1897年、泉州（福建）史上最後の状元・呉魯が奉納した扁額と対句
destinations.json::[19].name	Hội quán Hải Nam	海南会館
destinations.json::[19].description	Sinh sau đẻ muộn và hiếm khi được ngợi ca là tráng lệ hay lộng lẫy, Hội quán Hải Nam như một cuốn sử phong phú khiến người ta ngỡ ngàng một khi bước vào trong.	建てられたのは遅く、華麗と称えられることはまれですが、海南会館は中に入った途端に驚かせる、内容の厚い史書のようです。
destinations.json::[19].quizBank[0].question	Trong hai con lân này, con nào là lân đực và con nào là lân cái?	この二頭の麒麟のうち、どちらが雄でどちらが雌ですか？
destinations.json::[19].quizBank[0].options[0]	Cả A và B đều là lân đực	AもBも雄
destinations.json::[19].quizBank[0].options[1]	A là lân cái, B là lân đực	Aが雌、Bが雄
destinations.json::[19].quizBank[0].options[2]	A là lân đực, B là lân cái	Aが雄、Bが雌
destinations.json::[19].quizBank[0].explain	Thông thường, lân đực được khắc họa trong tư thế “lân hí cầu” với quả cầu tượng trưng cho mặt trời dưới chân, còn lân cái trong tư thế "lân giáo tử", dùng chân trước ôm ngang lưng con lân con. Tượng lân cũng được sắp đặt theo nguyên tắc “nam tả nữ hữu”, trong đó lân cái nằm ở phía tay phải nhìn từ trong chính điện ra. Bức tường phía ngoài hội quán cũng có hai bức phù điêu lân mang bát bảo và kỳ mang ám bát tiên.	ふつう雄は足下に太陽を表す球を置く「麟戯球」の姿、雌は前足で子麟の腰を抱く「麟教子」の姿に彫られます。像の配置も「男左女右」に従い、本殿から外を見ると雌が右手側にあります。会館の外壁にも、八宝を持つ麟と暗八仙を持つ麒の浮き彫りが二面あります。
destinations.json::[19].quizBank[1].question	Tại sao Hội quán Hải Nam lại thờ 108 vị Chiêu Ứng Công?	海南会館はなぜ昭応公百八柱を祀るのですか？
destinations.json::[19].quizBank[1].options[0]	Tưởng nhớ oai linh 108 vị anh hùng Lương Sơn Bạc đứng lên chống lại cái ác	悪に立ち向かった梁山泊百八の英雄の威をたたえるため
destinations.json::[19].quizBank[1].options[1]	Tưởng nhớ công ơn 108 tiền hiền đã đặt nền móng cho sự phát triển của bang Hải Nam	海南帮の発展の礎を築いた百八の先賢の功をたたえるため
destinations.json::[19].quizBank[1].options[2]	Tưởng nhớ vong linh 108 vị thương buôn chết oan đã hiển linh phù hộ thuyền bè trên biển	無実の罪で死し、のち海で船を守ったという商人百八の霊をたたえるため
destinations.json::[19].quizBank[1].explain	Mùa hạ năm 1851, 108 thương buôn người Hải Nam đã bị một số quan binh triều Nguyễn sát hại vì coi là cướp biển. Vua Tự Đức khi biết chuyện đã minh oan và sắc phong cho các vị là Chiêu Ứng Anh Liệt. Cặp liễn đối hai bên hương án chính có nghĩa: Khí khái tụ thành thần, theo dấu anh linh do oan trái; Đức độ xây nên miếu, thương kẻ đồng hương ở chốn xa.	1851年の夏、海南の商人108人が海賊と見なされ、阮朝の一部の官兵に殺されました。のちに事情を知った嗣徳帝が冤罪を晴らし、「昭応英烈」と勅封しました。主香案の両側の対句の意は「気概は集まって神となり、無実が残した英霊の跡をたどる／徳は積もって廟を建て、遠き地の同郷の人を憐れむ」。
destinations.json::[19].quizBank[2].question	Bao lam (cửa võng, rèm gỗ) ở cửa chính điện có đề tài gì?	本殿の戸口にある宝簾（木彫の垂れ飾り）の題材は何ですか？
destinations.json::[19].quizBank[2].options[0]	Tùng thử bồ đào (sóc và dây nho)	松鼠葡萄（リスとぶどう）
destinations.json::[19].quizBank[2].options[1]	Hoa - điểu (hoa và chim muông)	花鳥（花と鳥）
destinations.json::[19].quizBank[2].options[2]	Tùng - hạc	松鶴（松と鶴）
destinations.json::[19].quizBank[2].explain	Tùng Thử Bồ Đào (松鼠葡萄) là đề tài kinh điển biểu trưng cho phú quý – sung túc – vạn sự hưng long. Hình ảnh sóc trèo nho thể hiện sự sinh sôi – đông con cháu, là lời chúc cát tường cho gia đạo thịnh vượng.	松鼠葡萄は富貴・豊かさ・万事の繁栄を表す古典的な題材です。リスがぶどうを登る姿は子孫の繁栄を意味し、家の栄えを願う吉祥の挨拶です。
destinations.json::[19].short	Hội quán giản dị song lại mang những chi tiết độc nhất, chứa đựng bề dày văn hoá Trung Hoa.	素朴ながら唯一無二の細部を持つ会館。中国文化の厚みを宿します。
destinations.json::[19].highlights[0]	Khúc bi hùng ca của 108 vị Chiêu Ứng Công	昭応公百八柱の悲壮な歌
destinations.json::[19].highlights[1]	Hương án chính thếp vàng, được chạm lộng tinh vi với nhiều đề tài văn hoá	金箔を施した主香案。多くの文化的題材を精緻に透かし彫り
destinations.json::[19].highlights[2]	Bộ cửa vẽ lại điển tích “Nhị thập tứ hiếu”	「二十四孝」の物語を描いた戸
destinations.json::[19].highlights[3]	Kiến trúc song mái độc nhất tại Hội An	会安で唯一の二重屋根の構造
destinations.json::[20].name	Hội quán Triều Châu	潮州会館
destinations.json::[20].description	Hội quán Triều Châu sinh động với các chi tiết chạm gỗ trứ danh của người Tiều. Đề tài trang trí phong phú, tạo hình sáng tạo.	潮州会館は潮州の人々の名高い木彫の細部で生き生きしています。装飾の題材は豊かで、造形も独創的です。
destinations.json::[20].quizBank[0].question	Bạn có thể đi tìm chú ngựa này không? Người bạn của chú có bộ lông màu gì?	この馬を探せますか？ その相棒の毛色は何色でしょう？
destinations.json::[20].quizBank[0].options[0]	Trắng	白
destinations.json::[20].quizBank[0].options[1]	Đen	黒
destinations.json::[20].quizBank[0].options[2]	Nâu	茶色
destinations.json::[20].quizBank[1].question	Hình ảnh này là đặc trưng của mùa nào?	この図はどの季節を表していますか？
destinations.json::[20].quizBank[1].options[0]	Hạ	夏
destinations.json::[20].quizBank[1].options[1]	Thu	秋
destinations.json::[20].quizBank[1].options[2]	Xuân	春
destinations.json::[20].quizBank[1].explain	Ở Trung Quốc, tứ quý danh hoa là "Xuân Lan - Hạ Hà - Thu Cúc - Đông Mai". Trong đó "Lan" là lan kiếm, "Hà" là sen, "Cúc" vẫn là cúc, còn "Mai" là mơ.	中国では四季の名花は「春蘭・夏荷・秋菊・冬梅」です。うち「蘭」は剣蘭、「荷」は蓮、「菊」は菊、「梅」は梅の花です。
destinations.json::[20].quizBank[2].question	Trên phần mái tiền điện có những đề tài trang trí gì?	前殿の屋根にはどんな装飾の題材がありますか？
destinations.json::[20].quizBank[2].options[0]	Lưỡng long tranh bình hồ lô, ông Nhật - bà Nguyệt, các linh thú	二龍が瓢を争う図、日の神・月の神、諸霊獣
destinations.json::[20].quizBank[2].options[1]	Lưỡng long triều dương, cá chép vượt long môn, bát tiên quá hải	二龍朝陽、鯉の滝登り（登龍門）、八仙過海
destinations.json::[20].quizBank[2].options[2]	Lưỡng long tranh châu, lục quốc phong tướng	二龍争珠、六国封将
destinations.json::[20].quizBank[2].explain	Bên cạnh các đồ án lưỡng long hay cá chép vượt long môn, đồ án bát tiên quá hải cũng rất được ưa chuộng trong các kiến trúc của người Hoa. Bát tiên quá hải (tám vị tiên vượt biển) kể về hành trình 8 vị tiên dùng phép thuật và pháp bảo để vượt qua đại dương. Tất cả những pháp khí mà 8 vị tiên sử dụng gọi chung là Ám bát tiên, cũng là một đề tài trang trí phổ biến. Bảo vật ngư cổ của Trương Quả Lão nói về mạng sống của con người. Lã Động Tân mang bảo kiếm có thể ngăn cản tà ma. Cây sáo của Hàn Tương Tử có thể khiến vạn vật sinh sôi và nảy nở. Hà Tiên Cô có hoa sen có thể tu thân dưỡng tính. Hồ lô của Thiết Quản Lý có thể cứu giúp chúng sanh. Quạt của Hán Chung Ly có thể làm hồi sinh. Tấm ngọc của Tào Quốc Cửu có thể làm mọi vật trở nên trong sạch. Giỏ của Lam Thái Hòa có thể quảng thông thần minh.	二龍や鯉の滝登りの図案のほか、八仙過海も華人建築でとても好まれた題材です。八仙過海は八人の仙人が術と法器で大海を渡る物語。八仙が用いる器を総じて「暗八仙」といい、これもよく見る装飾題材です。張果老の魚鼓は人の命を語り、呂洞賓の宝剣は邪気を防ぎ、韓湘子の笛は万物を生い育て、何仙姑の蓮は身と心を修め、鉄拐李の瓢は衆生を救い、漢鍾離の扇は死者を蘇らせ、曹国舅の玉板は万物を清め、藍采和の籃は神明に広く通じます。
destinations.json::[20].short	Hội quán rực rỡ nhất với các họa tiết trang trí gỗ phức tạp có tạo hình phong phú trong tầm mắt.	目の前でもっとも華やかな会館——複雑で造形の豊かな木彫の文様。
destinations.json::[20].highlights[0]	Trang trí khác nhau ở hai bên vì kèo	両側の小屋組で異なる装飾
destinations.json::[20].highlights[1]	Khám thờ và bao lam chạm nhiều điển tích	多くの典故を彫った神龕と宝簾
destinations.json::[20].highlights[2]	Hệ cửa chạm gỗ và vẽ kính sáng tạo	木彫と硝子絵を創意ゆたかに用いた戸
destinations.json::[21].name	Đình Cẩm Phô	カムフォーの村会堂（ディン・カムフォー）
destinations.json::[21].description	Đình Cẩm Phô là nơi ghi dấu rõ nhất tinh thần cởi mở và chan hoà của thương cảng này. Liễn đối trước Hương Hiền tự ghi: “Lễ nhạc uy nghi kính như thần tại. Âu ca cổ vũ lạc tại nhân hòa”, có nghĩa: Lễ nghi và âm nhạc uy nghiêm, lòng thành kính như thần linh đang hiện diện. Hát ca và múa trống tưng bừng, niềm vui thực sự nằm ở sự hòa hợp của lòng người.	ディン・カムフォーは、この港の開かれた心と和みをもっともはっきり残す場所です。香賢祠の前の対句にはこうあります。「礼楽威儀 敬うこと神の在るがごとし／謳歌鼓舞 楽しみは人の和にあり」。
destinations.json::[21].quizBank[0].question	Mái của phương đình được trang trí với bao nhiêu con phượng?	方亭の屋根には鳳が何羽飾られていますか？
destinations.json::[21].quizBank[0].options[0]	9 con	9 羽
destinations.json::[21].quizBank[0].options[1]	10 con	10 羽
destinations.json::[21].quizBank[0].options[2]	8 con	8 羽
destinations.json::[21].quizBank[0].explain	Đình có một hệ thống các con giống được tạo hình rất sinh động và độc đáo trang trí cho các bộ phận kiến trúc. Nổi bật là 9 hình chim phượng trên phương đình. Trong phong thuỷ, phượng gắn liền với hành Hỏa, mùa hạ và hướng Nam, mang lại may mắn, cát khí và cơ hội phát triển. Cơ thể của phượng đại diện cho 5 phẩm chất cao quý gồm: đức hạnh (ngay thẳng), lòng nhân đạo (lương thiện), sự công bằng, tính đáng tin (chung thủy) và sự khoan đại.	この会堂には、建築の各部に生き生きとした独特の霊獣が飾られています。とりわけ方亭の上の鳳が九羽、目を引きます。風水では鳳は火・夏・南に結びつき、幸運と吉気、発展の機会をもたらします。鳳の体は五つの高い徳——徳行（まっすぐさ）、仁（善さ）、公正、信（貞節）、寛大——を表します。
destinations.json::[21].quizBank[1].question	Tại sao Đình Cẩm Phô lại có tên Cẩm Phô Hương Hiền?	ディン・カムフォーはなぜ「カムフォー香賢」とも呼ばれるのですか？
destinations.json::[21].quizBank[1].options[0]	Đình lưu giữ các ký ức từ xa xưa	はるか昔の記憶を守っているから
destinations.json::[21].quizBank[1].options[1]	Đình có thờ các vị tiền hiền, hậu hiền làng Cẩm Phô	カムフォー村の先賢・後賢を祀っているから
destinations.json::[21].quizBank[1].options[2]	Đình là nơi tổ chức sinh hoạt văn hoá truyền thống	伝統文化の催しを行う場所だから
destinations.json::[21].quizBank[1].explain	Đình trước đây thờ bà Đại Càn và các vị thần sông nước, về sau kết hợp thờ các vị tiền hiền và hậu hiền của làng Cẩm Phô. Trong đình là những hoành phi, liễn đối thể hiện đạo lý “uống nước nhớ nguồn” như “Ẩm hà tư nguyên” (phiên bản chữ Hán của “uống nước nhớ nguồn”) hay “Quang tiền dụ hậu” mang nghĩa: rạng rỡ đời trước, sung túc đời sau.	この会堂はかつてダイ・カン女神と水の神々を祀り、のちにカムフォー村の先賢・後賢を併せて祀りました。中には「水を飲めばその源を思う」という道理を示す扁額や対句があります。「飲河思源」、また「光前裕後」——前の世を輝かせ、後の世を豊かにする——などです。
destinations.json::[21].short	Kết tinh của các giá trị văn hoá Việt – sự cởi mở và chan hoà khiến cho cảng thị phồn vinh.	ベトナム文化の価値が結晶した場所——この港を栄えさせた開かれた心と和み。
destinations.json::[21].highlights[0]	Các liễn đối truyền tải chiều sâu văn hoá Việt	ベトナム文化の深みを伝える対句
destinations.json::[21].highlights[1]	Các con giống trang trí trên phần mái	屋根を飾る霊獣たち
destinations.json::[22].name	Tụy Tiên Đường Minh Hương	萃先堂 明郷
destinations.json::[22].description	Hai chữ Minh Hương (明香) vốn có nghĩa giữ gìn hương hỏa nhà Minh, sau đổi thành 明鄉 để chỉ làng của những người gốc nhà Minh. Tụy Tiên Đường là một di tích tiêu biểu của cộng đồng Minh Hương	「明香」の二字はもともと明朝の香火を守るという意味で、のちに「明郷」と改められ、明の遺民の郷を指しました。萃先堂はその明郷の社群を代表する遺跡です。
destinations.json::[22].quizBank[0].question	Con hạc này đang đứng trên lưng con vật nào?	この鶴はどの動物の背に立っていますか？
destinations.json::[22].quizBank[0].options[0]	Cá	魚
destinations.json::[22].quizBank[0].options[1]	Rùa	亀
destinations.json::[22].quizBank[0].options[2]	Cua	蟹
destinations.json::[22].quizBank[0].explain	Rùa đội hạc là một biểu tượng văn hóa và tâm linh quen thuộc trong các ngôi đình, chùa và trên bàn thờ gia tiên của người Việt. Nhiều di tích của người Minh Hương có biểu tượng này từ xưa, bởi lẽ người Minh Hương từ cộng đồng người Hoa di trú đã hội nhập vào xã hội và văn hoá Việt Nam và trở thành những người Việt thực thụ.	亀が鶴を背に載せる姿は、ベトナムの村の会堂や寺、家の先祖の祭壇でよく見る文化的・精神的な象徴です。明郷の遺跡にも古くからこの象徴があります。移住した華人社群から出た明郷の人々が、ベトナムの社会と文化に入り、本当のベトナム人になったからです。
destinations.json::[22].quizBank[1].question	Con vật này đang mang gì trên lưng?	この霊獣は背に何を負っていますか？
destinations.json::[22].quizBank[1].options[0]	Những cuộn dây	巻いた縄
destinations.json::[22].quizBank[1].options[1]	Thuốc thang	薬
destinations.json::[22].quizBank[1].options[2]	Những cuốn thư	書の巻物
destinations.json::[22].quizBank[1].explain	Hình trên cửa là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	戸の上の図は龍馬河図を意匠化したものです。伝説では伏羲の時代、黄河に龍馬が現れ、体は青く赤い斑があり、背に河図（馬図）を負っていました。天が王に授けた、国を治めるための書です。
destinations.json::[22].quizBank[2].question	Nơi này thờ phụng ai?	ここは誰を祀っていますか？
destinations.json::[22].quizBank[2].options[0]	Những người có công với làng Minh Hương ở Hội An	会安の明郷村に功のあった人々
destinations.json::[22].quizBank[2].options[1]	Tướng Trần Thượng Xuyên và Dương Ngạn Địch	チャン・トゥオン・スエンとズオン・ガン・ディック両将軍
destinations.json::[22].quizBank[2].options[2]	Phúc Đức chính thần	福徳正神
destinations.json::[22].quizBank[2].explain	Trong tên Tuỵ Tiên Đường, “tuỵ” có nghĩa là tụ họp, còn “tiên” là người xưa quá vãng. Văn bia tại đình có ghi: Khi xây dựng một làng tất phải nhớ công lao của tiền nhân. Người đời không thể quên đức tốt đã truyền lưu. Văn bia cũng giải thích rằng các vị được thờ nơi đây trước là cựu thần nhà Minh. Vận nhà Minh đã qua, lòng họ không nhận hai vua nên từ quan, đổi tên họ, lánh nạn đến đất phương nam, rồi họp người Tàu lại tại xứ nam, chọn chữ Minh để giữ quốc hiệu.	萃先堂の名は、「萃」が集まる、「先」が過ぎ去った前の人を意味します。堂の碑文にはこうあります。「村を築くには必ず前人の功を思うべし。世の人は伝えられた徳を忘れ得ぬ」。碑文はまた、ここに祀られる方々がもと明朝の旧臣であったと記します。明の運が尽き、彼らは二君に仕えぬとして官を辞し、姓を改め、南の地へ逃れ、南で華人を集め、「明」の字を選んで国号を守ったのです。
destinations.json::[22].short	Mang đậm giá trị văn hóa của những người gốc Hoa mang thân phận người dân Đại Nam dưới triều Nguyễn	阮朝のもとで大南の民として生きた華人系の人々の文化が濃く残る場所
destinations.json::[22].highlights[0]	Kiến trúc gỗ được thực hiện bởi các nghệ nhân làng Kim Bồng	キムボン村の職人による木造建築
destinations.json::[22].highlights[1]	Sự hòa trộn văn hóa Việt và Trung	ベトナムと中国の文化の混ざり合い
destinations.json::[22].highlights[2]	Câu chuyện của cộng đồng người Hoa đã Việt hoá.	ベトナム化した華人社群の物語
destinations.json::[23].name	Đình Hội An	会安の村会堂（ディン・ホイアン）
destinations.json::[23].description	Đình không chỉ gây ấn tượng thị giác mạnh mẽ mà còn là một trải nghiệm khám phá thú vị, đầy bất ngờ.	この会堂は見た目の印象が強いだけでなく、意外な発見の続く楽しい探索でもあります。
destinations.json::[23].quizBank[0].question	Đình Hội An còn có tên gọi nào khác?	ディン・ホイアンには他にどんな呼び名がありますか？
destinations.json::[23].quizBank[0].options[0]	Đình Voi Ré	ディン・ヴォイ・ゼー（象の鳴く堂）
destinations.json::[23].quizBank[0].options[1]	Đình Voi Phục	ディン・ヴォイ・フック（伏す象の堂）
destinations.json::[23].quizBank[0].options[2]	Đình Ông Voi	ディン・オン・ヴォイ（象の旦那の堂）
destinations.json::[23].quizBank[0].explain	Tên gọi đình Ông Voi xuất phát từ cặp tượng voi quỳ phục đặt ở sân trước. Hai pho tượng có kích thước lớn, chạm khắc tinh xảo, khoác lễ phục với nhiều chi tiết trang trí. Hình tượng voi không chỉ gây ấn tượng thị giác mà còn gắn liền với biểu tượng sức mạnh, trí tuệ trong văn hóa - tín ngưỡng dân gian. Trong Phật giáo, voi cũng là một biểu tượng của sức mạnh tâm thức, gắn với nhiều điển tích.	「ディン・オン・ヴォイ」の名は、前庭にひざまずいて伏す一対の象の像に由来します。二体は大きく、精緻に彫られ、飾りの多い礼服をまとっています。象の姿は視覚的に強いだけでなく、民間の文化と信仰では力と知恵の象徴と結びつきます。仏教でも象は心の力の象徴で、多くの典故に登場します。
destinations.json::[23].quizBank[1].question	Đây là con vật gì?	これは何の動物ですか？
destinations.json::[23].quizBank[1].options[0]	Long mã	龍馬
destinations.json::[23].quizBank[1].options[1]	Sư tử	獅子
destinations.json::[23].quizBank[1].options[2]	Lân	麒麟
destinations.json::[23].quizBank[1].explain	Hình trên bình phong là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	屏風の図は龍馬河図を意匠化したものです。伝説では伏羲の時代、黄河に龍馬が現れ、体は青く赤い斑があり、背に河図（馬図）を負っていました。天が王に授けた治国の書です。
destinations.json::[23].quizBank[2].question	Bạn đã lên ban thờ trên tầng hai chưa? Hãy đi tìm lối lên tầng. Trên mái nhà đối diện là hoạ tiết gì?	二階の祭壇へ上がりましたか？ 上がる道を探してください。向かいの屋根にはどんな文様がありますか？
destinations.json::[23].quizBank[2].options[0]	Cá và bình hồ lô	魚と瓢
destinations.json::[23].quizBank[2].options[1]	Rồng dây và mặt trời	唐草の龍と太陽
destinations.json::[23].quizBank[2].options[2]	Rồng và bình hồ lô	龍と瓢
destinations.json::[23].short	Tưởng không bất ngờ, nhưng bất ngờ không tưởng với đường đi lên hậu tẩm	驚くことはなさそうに見えて、後寝へ上がる道で思わぬ驚きに出会います。
destinations.json::[23].highlights[0]	Hình tượng trang trí ấn tượng ở sân trước	前庭の印象的な装飾像
