path	vi	de
destinations.json::[15].quizBank[2].explain	Tháng 10/1927, tại chính căn nhà này, đồng chí Năm Thêm chủ trì cuộc họp thành lập Hội Việt Nam Cách mạng Thanh niên Hội An. Từ ngày 28/03/1930, Tỉnh ủy Đảng Cộng sản Việt Nam Quảng Nam được thành lập ở Hội An, nhà Đức An tiếp tục trở thành nơi liên lạc và tổ chức hội họp của Đảng. Năm 1934, do sự chỉ dẫn của mật thám, lính Pháp đã đến lục soát ngôi nhà này và tìm thấy một vài tài liệu tiếng nước ngoài. Từ đó, nhà Đức An tạm đình chỉ làm nơi liên lạc của Đảng.	Im Oktober 1927 leitete Kamerad Năm Thêm in genau diesem Haus die Gründungsversammlung der Hội-An-Sektion des Revolutionären Jugendverbandes Vietnams. Ab dem 28. März 1930, als in Hội An das Provinzparteikomitee von Quảng Nam entstand, blieb Đức An Verbindungs- und Versammlungsort. 1934 durchsuchten französische Soldaten nach einem Hinweis von Spitzeln das Haus und fanden fremdsprachige Dokumente; danach ruhte seine Rolle als Verbindungsstelle.
destinations.json::[15].short	Hình hài của tinh thần yêu nước, tinh thần cách mạng qua nhiều thế hệ.	Das Haus, in dem der Patriotismus und Revolutionsgeist mehrerer Generationen Gestalt annahm.
destinations.json::[15].highlights[0]	Dụng cụ sinh hoạt và ảnh tư liệu của đồng chí Cao Hồng Lãnh	Alltagsgegenstände und Archivfotos des Kameraden Cao Hồng Lãnh
destinations.json::[15].highlights[1]	Cổ vật của gia đình Đức An	Antiquitäten der Familie Đức An
destinations.json::[15].highlights[2]	Phần nào hoạt động của nhóm Tam Quảng	Ein Teil der Arbeit der Tam-Quảng-Gruppe
destinations.json::[16].name	Nhà cổ Tấn Ký	Das alte Haus Tấn Ký
destinations.json::[16].description	Nhà cổ Tấn Ký không chỉ đẹp ở kiến trúc mà còn giống như một bảo tàng thu nhỏ với vô vàn cổ vật thú vị	Das Haus Tấn Ký ist nicht nur architektonisch schön, sondern wie ein Museum im Kleinen, voller merkwürdiger Antiquitäten.
destinations.json::[16].quizBank[0].question	Chiếc ghe bầu này được sử dụng khi di chuyển ở vùng nước nào?	Auf welchen Gewässern fuhr dieses Ghe-bầu-Boot?
destinations.json::[16].quizBank[0].options[0]	Vịnh	Die Bucht
destinations.json::[16].quizBank[0].options[1]	Biển	Das offene Meer
destinations.json::[16].quizBank[0].options[2]	Sông	Der Fluss
destinations.json::[16].quizBank[0].explain	Ghe bầu là loại thương thuyền (thuyền buôn) gỗ cỡ lớn truyền thống từng đóng vai trò huyết mạch trong ngành hàng hải và giao thương ven biển Việt Nam từ thế kỷ 16 đến nửa đầu thế kỷ 20. Thuyền có phần thân phình to ở giữa giống hình quả bầu, mạn cao, đáy bằng hoặc hơi khum, giúp chịu được sóng gió lớn ngoài khơi.	Das Ghe bầu war ein großes hölzernes Handelsschiff und vom 16. Jahrhundert bis in die erste Hälfte des 20. die Hauptschlagader der vietnamesischen Schifffahrt und des Küstenhandels. Der in der Mitte kürbisartig ausgebauchte Rumpf, hohe Bordwände und ein flacher oder leicht gerundeter Boden ließen es schwere See überstehen.
destinations.json::[16].quizBank[1].question	Hiệu Tấn Ký từng buôn bán những mặt hàng nào?	Mit welchen Waren handelte das Haus Tấn Ký?
destinations.json::[16].quizBank[1].options[0]	Y phục	Kleidung
destinations.json::[16].quizBank[1].options[1]	Sách báo	Bücher und Zeitungen
destinations.json::[16].quizBank[1].options[2]	Nông sản	Agrarprodukte
destinations.json::[16].quizBank[1].explain	Nhà cổ Tấn Ký được xây dựng vào năm 1741 bởi ông Lê Công, một thương nhân gốc Hoa di cư đến Hội An. Ông Lê Công ban đầu kinh doanh hàng nông sản từ miền cao về phố cảng.	Das Haus Tấn Ký baute 1741 Herr Lê Công, ein Kaufmann chinesischer Herkunft, der nach Hội An gezogen war. Zunächst handelte er mit Agrarprodukten aus dem Hochland, die er in die Hafenstadt brachte.
destinations.json::[16].quizBank[2].question	Chiếc cốc này gửi gắm triết lý gì?	Welche Lehre trägt dieser Becher?
destinations.json::[16].quizBank[2].options[0]	Biết đủ	Genug zu haben wissen
destinations.json::[16].quizBank[2].options[1]	Nghĩa khí	Ehrgefühl
destinations.json::[16].quizBank[2].options[2]	Khiêm tốn	Bescheidenheit
destinations.json::[16].quizBank[2].explain	Chiếc cốc hoạt động dựa trên nguyên lý bình thông nhau và hiệu ứng xifong (siphoning). Ở giữa cốc có một cột nhỏ che giấu một đường ống cong (ống chữ U ngược). Nếu rót quá đầy (vượt quá đỉnh của ống ngầm bên trong), toàn bộ nước trong cốc sẽ tự động chảy sạch qua lỗ nhỏ ở đáy cốc.	Der Becher arbeitet nach dem Prinzip verbundener Gefäße und dem Siphon-Effekt: Die kleine Säule in der Mitte verbirgt ein umgedrehtes U-Rohr. Gießt man über dessen Scheitel hinaus, läuft das ganze Wasser durch ein kleines Loch im Boden aus.
destinations.json::[16].short	“Bảo tàng sống” giữ gần như nguyên vẹn kiến trúc đặc trưng nhà cổ Hội An xưa.	Ein „lebendiges Museum“, das die Bauweise der alten Häuser von Hội An fast unverändert bewahrt.
destinations.json::[16].highlights[0]	Chén Khổng Tử từ Phước Kiến	Der Konfuzius-Becher aus Fujian
destinations.json::[16].highlights[1]	Nội thất gỗ được chạm cầu kỳ	Reich geschnitzte Holzeinbauten
destinations.json::[16].highlights[2]	Tính nguyên vẹn của kiến trúc xưa	Die Unversehrtheit der alten Architektur
destinations.json::[17].name	Hội quán Quảng Triệu	Die kantonesische Versammlungshalle (Quảng Triệu)
destinations.json::[17].description	Dưới những nếp mái vuông vức là không gian trang nghiêm, được trang trí bằng vô số cổ điển Trung Hoa	Unter kantig geformten Dächern liegt ein feierlicher Raum, geschmückt mit unzähligen klassischen chinesischen Szenen.
destinations.json::[17].quizBank[0].question	Ba người này đang ở đâu?	Wo befinden sich diese drei Männer?
destinations.json::[17].quizBank[0].options[0]	Vườn trúc	Ein Bambusgarten
destinations.json::[17].quizBank[0].options[1]	Núi tùng	Ein Kiefernberg
destinations.json::[17].quizBank[0].options[2]	Vườn đào	Ein Pfirsichgarten
destinations.json::[17].quizBank[0].explain	Bức tranh vẽ cảnh kết nghĩa vườn đào của ba anh em Lưu Bị, Quan Vũ và Trương Phi với lời thề "Tuy không sinh cùng ngày cùng tháng cùng năm, nhưng nguyện chết cùng ngày cùng tháng cùng năm", nguyện dốc sức vì nước, cứu dân an đời.	Das Bild zeigt den Schwur im Pfirsichgarten der drei Brüder Lưu Bị, Quan Vũ und Trương Phi: „Wir sind nicht am gleichen Tag, im gleichen Monat, im gleichen Jahr geboren, aber wir wollen am gleichen Tag, im gleichen Monat, im gleichen Jahr sterben“ — und geloben, dem Land zu dienen und das Volk zu retten.
destinations.json::[17].quizBank[1].question	Trong ba nhân vật, ai là Quan Vũ?	Wer von den drei ist Quan Vũ?
destinations.json::[17].quizBank[1].options[0]	Người có mặt đỏ	Der mit dem roten Gesicht
destinations.json::[17].quizBank[1].options[1]	Người ở giữa có tai to	Der in der Mitte mit den großen Ohren
destinations.json::[17].quizBank[1].options[2]	Người có mặt đen	Der mit dem schwarzen Gesicht
destinations.json::[17].quizBank[1].explain	Trong truyện Tam Quốc có 2 câu đối nhắc tới sắc đỏ gắn liền với Quan Vũ: “Xích diện bỉnh xích tâm, kỵ Xích Thố truy phong, trì khu thời vô vong Xích Đế / Thanh đăng quan thanh sử, trượng thanh long yển nguyệt, ẩn vi xứ bất uý thanh thiên”. Theo bản dịch của Phan Kế Bính: “Bộ mặt đỏ giữ tấm lòng đỏ, cưỡi ngựa Thỏ Đỏ truy phong, lúc ruổi rong không quên nhớ Vua Đỏ / Ngọn đèn xanh xem bộ sử xanh, cầm đao yển nguyệt rồng xanh, nơi kín đáo chẳng thẹn với trời xanh.”	In der „Geschichte der Drei Reiche“ stehen zwei Spruchpaare über Quan Vũs Rot: „Rotes Gesicht mit rotem Herzen, auf Xích Thố, der den Wind jagt, vergisst er auch im Ritt den Roten Kaiser nicht / Bei grüner Lampe liest er die grünen Annalen, hält die Grüne-Drachen-Mondklinge, und selbst im Verborgenen schämt er sich nicht vor dem grünen Himmel.“ (Übersetzung von Phan Kế Bính)
destinations.json::[17].quizBank[2].question	Nhân vật nữ này đang bưng thức quả gì?	Welche Frucht trägt diese Frauenfigur?
destinations.json::[17].quizBank[2].options[0]	Quả hồng	Eine Kaki
destinations.json::[17].quizBank[2].options[1]	Quả đào	Einen Pfirsich
destinations.json::[17].quizBank[2].options[2]	Quả phật thủ	Eine Buddhas-Hand-Zitrone
destinations.json::[17].quizBank[2].explain	Bức tranh “Ma Cô hiến thọ” vẽ lại cảnh tiên nữ Ma Cô mang đào tiên chúc thọ Tây Vương Mẫu. Đây chính là hình ảnh trang trí quen thuộc trên những chiếc đĩa cô tiên. Trong bức tranh ở Hội quán Quảng Triệu còn xuất hiện mô-típ tùng và hạc.	Das Bild „Ma Cô überbringt Langlebigkeit“ zeigt die Unsterbliche Ma Cô, die den Pfirsich der Unsterblichkeit bringt, um der Königinmutter des Westens langes Leben zu wünschen — ein vertrautes Motiv der Teller mit Unsterblichen. Im Bild der kantonesischen Halle erscheinen zudem Kiefer und Kranich.
destinations.json::[17].short	Từng là nơi hội họp của các thương nhân Quảng Đông, một hội quán uy nghi, bề thế, và mực thước trong kể chuyện.	Einst Versammlungsort der kantonesischen Kaufleute: würdevoll, weiträumig und maßvoll im Erzählen.
destinations.json::[17].highlights[0]	Tác phẩm “ngư long hý thuỷ”	Das Werk „Fischdrache spielt im Wasser“
destinations.json::[17].highlights[1]	Các bức tranh minh hoạ tích truyện Quan Công	Bilder zu den Quan-Công-Geschichten
destinations.json::[17].highlights[2]	Các chi tiết hoa trái mang tính biểu tượng	Blüten- und Fruchtdetails voller Bedeutung
destinations.json::[18].name	Hội quán Phúc Kiến	Die Fujian-Versammlungshalle
destinations.json::[18].description	Hội quán tráng lệ nhất phố Hội, với những chi tiết trang trí tinh xảo, tái hiện hải trình của những thương nhân Phước Kiến cùng lòng thành kính với Thiên Hậu Thánh Mẫu.	Die prächtigste Versammlungshalle Hội Ans: Ihr feiner Schmuck erzählt die Seereisen der Fujian-Kaufleute und ihre Verehrung für Thiên Hậu.
destinations.json::[18].quizBank[0].question	Hình ảnh nào dưới đây là mái của Hội quán Phước Kiến?	Welches Bild zeigt das Dach der Fujian-Halle?
destinations.json::[18].quizBank[0].options[0]	Ảnh 1	Bild 1
destinations.json::[18].quizBank[0].options[1]	Ảnh 3	Bild 3
destinations.json::[18].quizBank[0].options[2]	Ảnh 2	Bild 2
destinations.json::[18].quizBank[0].explain	Khác với kiểu nóc mái thẳng tắp của Quảng Đông, kiến trúc mái đặc trưng của vùng Phúc Kiến có bờ nóc võng xuống như con thuyền đang cưỡi sóng. Phần trang trí cũng công phu hơn so với các hội quán khác.	Anders als der gerade kantonesische First senkt sich das Fujian-Dach in der Mitte wie ein Boot auf der Welle; auch sein Schmuck ist aufwendiger als bei den anderen Hallen.
destinations.json::[18].quizBank[1].question	Tại sao Hội quán Phước Kiến và nhiều hội quán khác của người Hoa lại thờ bà Thiên Hậu? Gợi ý: Hãy quan sát những bức tranh và mô hình trong hội quán	Warum verehren die Fujian-Halle und viele andere chinesische Hallen Thiên Hậu? Hinweis: Sehen Sie sich die Malereien und das Modell an
destinations.json::[18].quizBank[1].options[0]	Để tưởng nhớ công dẹp giặc	Um einen Sieg über Angreifer zu ehren
destinations.json::[18].quizBank[1].options[1]	Để cầu bình an khi đi biển	Um Sicherheit auf See zu erbitten
destinations.json::[18].quizBank[1].options[2]	Để cầu tài lộc	Um Reichtum zu erbitten
destinations.json::[18].quizBank[1].explain	Ngay sau khi bước vào tiền điện, du khách sẽ thấy ở phía tường Đông là bích họa Thiên Hậu Thánh Mẫu cùng đệ tử cầm đèn lồng vượt sóng gió đến cứu người bị nạn và ở phía tường Tây là bích họa Lục Tánh Vương Gia cưỡi ngựa xung trận. Bên trong chính điện có mô hình thương thuyền được trang trí kỳ công với một gian thờ Thiên Hậu trên thuyền.	Gleich im Vorderhaus zeigt die Ostwand Thiên Hậu mit ihren Gefährten, die mit Laternen durch den Sturm den Schiffbrüchigen zu Hilfe eilen; die Westwand die Sechs Prinzen, die zu Pferd in die Schlacht reiten. In der Haupthalle steht ein reich geschmücktes Modell eines Handelsschiffs, an Bord ein Schrein für Thiên Hậu.
destinations.json::[18].quizBank[2].question	Hai vị thần được thờ phụng trong chính điện cùng Bà Thiên Hậu là ai?	Welche zwei Götter werden mit Thiên Hậu in der Haupthalle verehrt?
destinations.json::[18].quizBank[2].options[0]	Thanh Long - Bạch Hổ	Grüner Drache und Weißer Tiger
destinations.json::[18].quizBank[2].options[1]	Thần Đồ - Uất Lũy	Shentu und Yulei
destinations.json::[18].quizBank[2].options[2]	Thiên Lý Nhãn - Thuận Phong Nhĩ	Tausend-Meilen-Auge und Wind-Ohr
destinations.json::[18].quizBank[2].explain	Hai vị thần phò tá Thiên Hậu Thánh Mẫu là Thiên Lý Nhãn và Thuận Phong Nhĩ. Thiên Lý Nhãn có thể nhìn thấy mọi việc ở khoảng cách rất xa, giúp Bà phát hiện tàu thuyền gặp nạn trên biển, còn Thuận Phong Nhĩ có thể nghe được tiếng kêu cứu từ muôn nơi theo chiều gió.	Die beiden Gefährten von Thiên Hậu sind Tausend-Meilen-Auge, das Geschehnisse in großer Ferne sieht und ihr Schiffe in Not meldet, und Wind-Ohr, das Hilferufe hört, die der Wind von überall herträgt.
destinations.json::[18].quizBank[3].question	Những đôi giày trong tủ kính dành cho ai?	Für wen waren diese Schuhe in der Vitrine?
destinations.json::[18].quizBank[3].options[0]	Những người phụ nữ bó chân gót sen	Für Frauen mit gebundenen Füßen
destinations.json::[18].quizBank[3].options[1]	Tượng thờ các vị thần	Für die Götterfiguren
destinations.json::[18].quizBank[3].options[2]	Vũ công múa thủy tụ	Für Tänzerinnen mit Wasserärmeln
destinations.json::[18].quizBank[3].explain	Tủ kính trưng bày các vật dụng của người Hoa xưa. Những đôi giày trong tủ được dùng khi bó chân gót sen. Tập tục này bắt đầu từ thời nhà Tống, được coi là biểu tượng của cái đẹp và địa vị. Đến thời nhà Thanh, tuy lệnh cấm được ban hành, song ít người tuân thủ. Đến thế kỷ XIX, có khoảng một nửa phụ nữ Trung Hoa thực hành bó chân.	Die Vitrine zeigt Alltagsgegenstände der alten chinesischen Gemeinschaft. Diese Schuhe wurden auf gebundenen Füßen getragen — ein Brauch, der in der Song-Zeit begann und als Zeichen von Schönheit und Rang galt. Die Qing verboten ihn mit wenig Erfolg: Im 19. Jahrhundert hatte etwa die Hälfte der chinesischen Frauen gebundene Füße.
destinations.json::[18].quizBank[4].question	Bức tranh vẽ những đứa trẻ này được tìm thấy ở đâu?	Wo findet sich dieses Bild mit Kindern?
destinations.json::[18].quizBank[4].options[0]	Nhà Đông	Im Osthaus
destinations.json::[18].quizBank[4].options[1]	Án thờ 3 bà Chúa Sanh thai và 12 bà mụ	Am Altar der drei Geburtsgöttinnen und der zwölf Hebammen
destinations.json::[18].quizBank[4].options[2]	Án thờ Lục Tánh vương gia	Am Altar der Sechs Prinzen
destinations.json::[18].quizBank[4].explain	Ba bà Chúa Sanh thai (Tam Tiêu Nương Nương) và 12 bà mụ lo việc tạo hình hài, ban phước, bảo trợ cho việc cầu tự (cầu con), thai kỳ bình an và mẹ tròn con vuông. Tượng 12 bà mụ thường khắc họa các vị trong các động tác chăm sóc, bồng bế trẻ thơ khác nhau.	Die drei Geburtsgöttinnen (Tam Tiêu Nương Nương) und die zwölf Hebammen formen das Kind, spenden Segen und schützen Kinderwunsch, Schwangerschaft und Geburt. Die Zwölf werden oft dargestellt, wie sie Säuglinge wiegen und versorgen.
destinations.json::[18].short	Hội quán tráng lệ nhất với những chi tiết trang trí tinh xảo làm từ gốm sứ và nhiều chất liệu khác.	Die prächtigste der Versammlungshallen, mit feinem Schmuck aus Porzellan und anderen Materialien.
destinations.json::[18].highlights[0]	Cổng tam quan uy nghi	Das imposante Dreitorportal
destinations.json::[18].highlights[1]	Mô hình thương thuyền vượt biển sống động	Das lebendige Modell des Handelsschiffs auf hoher See
destinations.json::[18].highlights[2]	Hoành phi và liễn đối do Ngô Lỗ, Trạng nguyên cuối cùng của lịch sử Tuyền Châu (Phước Kiến), cúng vào năm 1897	Tafel und Spruchpaar, 1897 gestiftet von Wu Lu, dem letzten Prüfungssieger in der Geschichte Quanzhous (Fujian)
destinations.json::[19].name	Hội quán Hải Nam	Die Hainan-Versammlungshalle
destinations.json::[19].description	Sinh sau đẻ muộn và hiếm khi được ngợi ca là tráng lệ hay lộng lẫy, Hội quán Hải Nam như một cuốn sử phong phú khiến người ta ngỡ ngàng một khi bước vào trong.	Später erbaut und selten für Prunk gelobt, ist die Hainan-Halle wie ein dichtes Geschichtsbuch — sie überrascht, sobald man eintritt.
destinations.json::[19].quizBank[0].question	Trong hai con lân này, con nào là lân đực và con nào là lân cái?	Welcher dieser beiden Qilin ist männlich, welcher weiblich?
destinations.json::[19].quizBank[0].options[0]	Cả A và B đều là lân đực	A und B sind beide männlich
destinations.json::[19].quizBank[0].options[1]	A là lân cái, B là lân đực	A ist weiblich, B männlich
destinations.json::[19].quizBank[0].options[2]	A là lân đực, B là lân cái	A ist männlich, B weiblich
destinations.json::[19].quizBank[0].explain	Thông thường, lân đực được khắc họa trong tư thế “lân hí cầu” với quả cầu tượng trưng cho mặt trời dưới chân, còn lân cái trong tư thế "lân giáo tử", dùng chân trước ôm ngang lưng con lân con. Tượng lân cũng được sắp đặt theo nguyên tắc “nam tả nữ hữu”, trong đó lân cái nằm ở phía tay phải nhìn từ trong chính điện ra. Bức tường phía ngoài hội quán cũng có hai bức phù điêu lân mang bát bảo và kỳ mang ám bát tiên.	Meist wird das Männchen als „Löwe, der mit der Kugel spielt“ dargestellt, die Sonnenkugel unter der Pranke, das Weibchen als „Löwin, die ihr Junges lehrt“, mit der Vorderpranke um das Junge. Auch die Aufstellung folgt „männlich links, weiblich rechts“: Von der Haupthalle nach draußen gesehen steht das Weibchen rechts. Die Außenmauer trägt zwei Reliefs: ein Löwe mit den Acht Schätzen und ein Qilin mit den verborgenen Emblemen der Acht Unsterblichen.
destinations.json::[19].quizBank[1].question	Tại sao Hội quán Hải Nam lại thờ 108 vị Chiêu Ứng Công?	Warum verehrt die Hainan-Halle die 108 Chiêu Ứng Công?
destinations.json::[19].quizBank[1].options[0]	Tưởng nhớ oai linh 108 vị anh hùng Lương Sơn Bạc đứng lên chống lại cái ác	Um die 108 Helden von Liangshan zu ehren, die sich dem Bösen entgegenstellten
destinations.json::[19].quizBank[1].options[1]	Tưởng nhớ công ơn 108 tiền hiền đã đặt nền móng cho sự phát triển của bang Hải Nam	Um die 108 Ahnen zu ehren, die die Hainan-Gemeinschaft begründeten
destinations.json::[19].quizBank[1].options[2]	Tưởng nhớ vong linh 108 vị thương buôn chết oan đã hiển linh phù hộ thuyền bè trên biển	Um die 108 zu Unrecht getöteten Kaufleute zu ehren, die später Schiffe auf See beschützten
destinations.json::[19].quizBank[1].explain	Mùa hạ năm 1851, 108 thương buôn người Hải Nam đã bị một số quan binh triều Nguyễn sát hại vì coi là cướp biển. Vua Tự Đức khi biết chuyện đã minh oan và sắc phong cho các vị là Chiêu Ứng Anh Liệt. Cặp liễn đối hai bên hương án chính có nghĩa: Khí khái tụ thành thần, theo dấu anh linh do oan trái; Đức độ xây nên miếu, thương kẻ đồng hương ở chốn xa.	Im Sommer 1851 wurden 108 Kaufleute aus Hainan von Soldaten des Nguyễn-Hofs getötet, die sie für Piraten hielten. Kaiser Tự Đức erfuhr davon, rehabilitierte sie und verlieh ihnen den Titel „Chiêu Ứng Anh Liệt“. Das Spruchpaar am Hauptaltar sagt: „Gesammelte Geisteskraft wird zur Gottheit und folgt der Spur der Seelen, die aus Unrecht entstanden; angehäufte Tugend errichtet einen Tempel aus Mitleid mit den Landsleuten in der Ferne.“
destinations.json::[19].quizBank[2].question	Bao lam (cửa võng, rèm gỗ) ở cửa chính điện có đề tài gì?	Welches Motiv trägt der geschnitzte Türbehang über dem Eingang der Haupthalle?
destinations.json::[19].quizBank[2].options[0]	Tùng thử bồ đào (sóc và dây nho)	„Eichhörnchen und Weinrebe“ (Tùng thử bồ đào)
destinations.json::[19].quizBank[2].options[1]	Hoa - điểu (hoa và chim muông)	„Blumen und Vögel“
destinations.json::[19].quizBank[2].options[2]	Tùng - hạc	„Kiefer und Kranich“
destinations.json::[19].quizBank[2].explain	Tùng Thử Bồ Đào (松鼠葡萄) là đề tài kinh điển biểu trưng cho phú quý – sung túc – vạn sự hưng long. Hình ảnh sóc trèo nho thể hiện sự sinh sôi – đông con cháu, là lời chúc cát tường cho gia đạo thịnh vượng.	„Eichhörnchen und Weinrebe“ ist ein klassisches Motiv für Reichtum, Fülle und Gedeihen in allen Dingen. Das Eichhörnchen an der Rebe steht für Fruchtbarkeit und viele Nachkommen — ein Glückswunsch für das Haus.
destinations.json::[19].short	Hội quán giản dị song lại mang những chi tiết độc nhất, chứa đựng bề dày văn hoá Trung Hoa.	Eine schlichte Halle mit einzigartigen Details, in denen die Tiefe chinesischer Kultur steckt.
destinations.json::[19].highlights[0]	Khúc bi hùng ca của 108 vị Chiêu Ứng Công	Das heroische Klagelied der 108 Chiêu Ứng Công
destinations.json::[19].highlights[1]	Hương án chính thếp vàng, được chạm lộng tinh vi với nhiều đề tài văn hoá	Der blattvergoldete Hauptaltar, feinst durchbrochen mit vielen kulturellen Motiven
destinations.json::[19].highlights[2]	Bộ cửa vẽ lại điển tích “Nhị thập tứ hiếu”	Die Türflügel mit den „Vierundzwanzig Beispielen kindlicher Pietät“
destinations.json::[19].highlights[3]	Kiến trúc song mái độc nhất tại Hội An	Die einzige Doppeldachkonstruktion in Hội An
destinations.json::[20].name	Hội quán Triều Châu	Die Teochew-Versammlungshalle (Triều Châu)
destinations.json::[20].description	Hội quán Triều Châu sinh động với các chi tiết chạm gỗ trứ danh của người Tiều. Đề tài trang trí phong phú, tạo hình sáng tạo.	Die Teochew-Halle lebt von der berühmten Holzschnitzkunst der Teochew: vielfältige Themen, erfinderische Formen.
destinations.json::[20].quizBank[0].question	Bạn có thể đi tìm chú ngựa này không? Người bạn của chú có bộ lông màu gì?	Finden Sie dieses Pferd? Welche Farbe hat das Fell seines Gefährten?
destinations.json::[20].quizBank[0].options[0]	Trắng	Weiß
destinations.json::[20].quizBank[0].options[1]	Đen	Schwarz
destinations.json::[20].quizBank[0].options[2]	Nâu	Braun
destinations.json::[20].quizBank[1].question	Hình ảnh này là đặc trưng của mùa nào?	Welche Jahreszeit stellt dieses Bild dar?
destinations.json::[20].quizBank[1].options[0]	Hạ	Der Sommer
destinations.json::[20].quizBank[1].options[1]	Thu	Der Herbst
destinations.json::[20].quizBank[1].options[2]	Xuân	Der Frühling
destinations.json::[20].quizBank[1].explain	Ở Trung Quốc, tứ quý danh hoa là "Xuân Lan - Hạ Hà - Thu Cúc - Đông Mai". Trong đó "Lan" là lan kiếm, "Hà" là sen, "Cúc" vẫn là cúc, còn "Mai" là mơ.	In China sind die vier Jahreszeitenblumen „Frühlingsorchidee, Sommerlotos, Herbstchrysantheme, Winterpflaume“: Die „Orchidee“ ist die Schwertorchidee, der „Lotos“ der Lotos, die Chrysantheme bleibt die Chrysantheme, und die „Pflaume“ ist die Aprikosenpflaume.
destinations.json::[20].quizBank[2].question	Trên phần mái tiền điện có những đề tài trang trí gì?	Welche Motive schmücken das Dach der Vorhalle?
destinations.json::[20].quizBank[2].options[0]	Lưỡng long tranh bình hồ lô, ông Nhật - bà Nguyệt, các linh thú	Zwei Drachen im Streit um die Kürbisflasche, Sonnen- und Mondgottheit, heilige Tiere
destinations.json::[20].quizBank[2].options[1]	Lưỡng long triều dương, cá chép vượt long môn, bát tiên quá hải	Zwei Drachen zur Sonne gewandt, der Karpfen am Drachentor, die Acht Unsterblichen überqueren das Meer
destinations.json::[20].quizBank[2].options[2]	Lưỡng long tranh châu, lục quốc phong tướng	Zwei Drachen im Streit um die Perle, „die sechs Reiche ernennen Generäle“
destinations.json::[20].quizBank[2].explain	Bên cạnh các đồ án lưỡng long hay cá chép vượt long môn, đồ án bát tiên quá hải cũng rất được ưa chuộng trong các kiến trúc của người Hoa. Bát tiên quá hải (tám vị tiên vượt biển) kể về hành trình 8 vị tiên dùng phép thuật và pháp bảo để vượt qua đại dương. Tất cả những pháp khí mà 8 vị tiên sử dụng gọi chung là Ám bát tiên, cũng là một đề tài trang trí phổ biến. Bảo vật ngư cổ của Trương Quả Lão nói về mạng sống của con người. Lã Động Tân mang bảo kiếm có thể ngăn cản tà ma. Cây sáo của Hàn Tương Tử có thể khiến vạn vật sinh sôi và nảy nở. Hà Tiên Cô có hoa sen có thể tu thân dưỡng tính. Hồ lô của Thiết Quản Lý có thể cứu giúp chúng sanh. Quạt của Hán Chung Ly có thể làm hồi sinh. Tấm ngọc của Tào Quốc Cửu có thể làm mọi vật trở nên trong sạch. Giỏ của Lam Thái Hòa có thể quảng thông thần minh.	Neben Drachenpaaren oder dem Karpfen am Drachentor sind die Acht Unsterblichen bei der Meeresüberquerung ein beliebtes Motiv chinesischer Baukunst: Acht Unsterbliche überqueren den Ozean mit Zauber und Attributen. Diese Attribute zusammen heißen „verborgene Acht Unsterbliche“ und sind selbst ein häufiges Ornament. Zhang Guolaos Fischtrommel spricht vom Menschenleben; Lü Dongbins Schwert hält Dämonen ab; Han Xiangzis Flöte lässt alles wachsen; He Xiangus Lotos übt Körper und Geist; Li Tieguais Kürbisflasche rettet die Wesen; Han Zhonglis Fächer bringt Tote zurück; Cao Guojius Jadetafel reinigt alles; Lan Caihes Korb öffnet den Weg zu den Göttern.
destinations.json::[20].short	Hội quán rực rỡ nhất với các họa tiết trang trí gỗ phức tạp có tạo hình phong phú trong tầm mắt.	Die farbenprächtigste Halle: reich verschlungene Holzornamente in vielerlei Gestalt, direkt vor Augen.
destinations.json::[20].highlights[0]	Trang trí khác nhau ở hai bên vì kèo	Die beiden Seiten des Dachwerks, jeweils anders geschmückt
destinations.json::[20].highlights[1]	Khám thờ và bao lam chạm nhiều điển tích	Schrein und Türbehang, geschnitzt mit vielen Erzählungen
destinations.json::[20].highlights[2]	Hệ cửa chạm gỗ và vẽ kính sáng tạo	Die Türen, in denen Holzschnitt und Hinterglasmalerei erfindungsreich zusammenkommen
destinations.json::[21].name	Đình Cẩm Phô	Das Gemeindehaus von Cẩm Phô
destinations.json::[21].description	Đình Cẩm Phô là nơi ghi dấu rõ nhất tinh thần cởi mở và chan hoà của thương cảng này. Liễn đối trước Hương Hiền tự ghi: “Lễ nhạc uy nghi kính như thần tại. Âu ca cổ vũ lạc tại nhân hòa”, có nghĩa: Lễ nghi và âm nhạc uy nghiêm, lòng thành kính như thần linh đang hiện diện. Hát ca và múa trống tưng bừng, niềm vui thực sự nằm ở sự hòa hợp của lòng người.	Das Gemeindehaus von Cẩm Phô bewahrt am deutlichsten den Geist der Offenheit und Eintracht dieses Hafens. Vor dem Hương-Hiền-Schrein sagt das Spruchpaar: „Riten und Musik in Würde, die Ehrfurcht, als wären die Götter zugegen; Gesang und Trommeln im Fest — die wahre Freude liegt im Einklang der Herzen.“
destinations.json::[21].quizBank[0].question	Mái của phương đình được trang trí với bao nhiêu con phượng?	Wie viele Phönixe schmücken das Dach des quadratischen Pavillons?
destinations.json::[21].quizBank[0].options[0]	9 con	Neun
destinations.json::[21].quizBank[0].options[1]	10 con	Zehn
destinations.json::[21].quizBank[0].options[2]	8 con	Acht
