path	vi	fr
destinations.json::[16].quizBank[0].explain	Ghe bầu là loại thương thuyền (thuyền buôn) gỗ cỡ lớn truyền thống từng đóng vai trò huyết mạch trong ngành hàng hải và giao thương ven biển Việt Nam từ thế kỷ 16 đến nửa đầu thế kỷ 20. Thuyền có phần thân phình to ở giữa giống hình quả bầu, mạn cao, đáy bằng hoặc hơi khum, giúp chịu được sóng gió lớn ngoài khơi.	Le ghe bầu était un grand navire marchand en bois, artère de la navigation et du commerce côtier vietnamiens du XVIe siècle à la première moitié du XXe. Sa coque, renflée au milieu comme une gourde, ses hauts bords et son fond plat ou légèrement arrondi lui permettaient d'affronter la grosse mer.
destinations.json::[16].quizBank[1].question	Hiệu Tấn Ký từng buôn bán những mặt hàng nào?	Quelles marchandises la maison Tấn Ký négociait-elle ?
destinations.json::[16].quizBank[1].options[0]	Y phục	Des vêtements
destinations.json::[16].quizBank[1].options[1]	Sách báo	Des livres et journaux
destinations.json::[16].quizBank[1].options[2]	Nông sản	Des produits agricoles
destinations.json::[16].quizBank[1].explain	Nhà cổ Tấn Ký được xây dựng vào năm 1741 bởi ông Lê Công, một thương nhân gốc Hoa di cư đến Hội An. Ông Lê Công ban đầu kinh doanh hàng nông sản từ miền cao về phố cảng.	La maison Tấn Ký fut bâtie en 1741 par M. Lê Công, marchand d'origine chinoise venu s'installer à Hội An. Il commerçait d'abord les produits agricoles descendus des hauts plateaux vers le port.
destinations.json::[16].quizBank[2].question	Chiếc cốc này gửi gắm triết lý gì?	Quelle sagesse cette coupe porte-t-elle ?
destinations.json::[16].quizBank[2].options[0]	Biết đủ	Savoir se contenter
destinations.json::[16].quizBank[2].options[1]	Nghĩa khí	Le sens de l'honneur
destinations.json::[16].quizBank[2].options[2]	Khiêm tốn	L'humilité
destinations.json::[16].quizBank[2].explain	Chiếc cốc hoạt động dựa trên nguyên lý bình thông nhau và hiệu ứng xifong (siphoning). Ở giữa cốc có một cột nhỏ che giấu một đường ống cong (ống chữ U ngược). Nếu rót quá đầy (vượt quá đỉnh của ống ngầm bên trong), toàn bộ nước trong cốc sẽ tự động chảy sạch qua lỗ nhỏ ở đáy cốc.	Cette coupe fonctionne par vases communicants et effet de siphon : la petite colonne au centre cache un tube coudé en U renversé. Si l'on verse au-delà du sommet de ce tube caché, toute l'eau s'écoule par un petit trou sous la coupe.
destinations.json::[16].short	“Bảo tàng sống” giữ gần như nguyên vẹn kiến trúc đặc trưng nhà cổ Hội An xưa.	Un « musée vivant » qui garde presque intacte l'architecture des vieilles maisons de Hội An.
destinations.json::[16].highlights[0]	Chén Khổng Tử từ Phước Kiến	La coupe de Confucius, venue du Fujian
destinations.json::[16].highlights[1]	Nội thất gỗ được chạm cầu kỳ	Les boiseries intérieures finement sculptées
destinations.json::[16].highlights[2]	Tính nguyên vẹn của kiến trúc xưa	L'intégrité de l'architecture ancienne
destinations.json::[17].name	Hội quán Quảng Triệu	La maison de congrégation cantonaise (Quảng Triệu)
destinations.json::[17].description	Dưới những nếp mái vuông vức là không gian trang nghiêm, được trang trí bằng vô số cổ điển Trung Hoa	Sous des toits aux arêtes carrées s'ouvre un espace solennel, orné d'innombrables scènes classiques chinoises.
destinations.json::[17].quizBank[0].question	Ba người này đang ở đâu?	Où se trouvent ces trois hommes ?
destinations.json::[17].quizBank[0].options[0]	Vườn trúc	Un jardin de bambous
destinations.json::[17].quizBank[0].options[1]	Núi tùng	Une montagne de pins
destinations.json::[17].quizBank[0].options[2]	Vườn đào	Un jardin de pêchers
destinations.json::[17].quizBank[0].explain	Bức tranh vẽ cảnh kết nghĩa vườn đào của ba anh em Lưu Bị, Quan Vũ và Trương Phi với lời thề "Tuy không sinh cùng ngày cùng tháng cùng năm, nhưng nguyện chết cùng ngày cùng tháng cùng năm", nguyện dốc sức vì nước, cứu dân an đời.	La peinture montre le serment du jardin des pêchers entre les trois frères Lưu Bị, Quan Vũ et Trương Phi : « Nous ne sommes pas nés le même jour, le même mois, la même année, mais nous voulons mourir le même jour, le même mois, la même année », et jurent de servir le pays et de sauver le peuple.
destinations.json::[17].quizBank[1].question	Trong ba nhân vật, ai là Quan Vũ?	Parmi les trois, lequel est Quan Vũ ?
destinations.json::[17].quizBank[1].options[0]	Người có mặt đỏ	Celui au visage rouge
destinations.json::[17].quizBank[1].options[1]	Người ở giữa có tai to	Celui du milieu, aux grandes oreilles
destinations.json::[17].quizBank[1].options[2]	Người có mặt đen	Celui au visage noir
destinations.json::[17].quizBank[1].explain	Trong truyện Tam Quốc có 2 câu đối nhắc tới sắc đỏ gắn liền với Quan Vũ: “Xích diện bỉnh xích tâm, kỵ Xích Thố truy phong, trì khu thời vô vong Xích Đế / Thanh đăng quan thanh sử, trượng thanh long yển nguyệt, ẩn vi xứ bất uý thanh thiên”. Theo bản dịch của Phan Kế Bính: “Bộ mặt đỏ giữ tấm lòng đỏ, cưỡi ngựa Thỏ Đỏ truy phong, lúc ruổi rong không quên nhớ Vua Đỏ / Ngọn đèn xanh xem bộ sử xanh, cầm đao yển nguyệt rồng xanh, nơi kín đáo chẳng thẹn với trời xanh.”	Les Trois Royaumes contiennent deux distiques sur le rouge de Quan Vũ : « Visage rouge gardant un cœur rouge, montant Xích Thố qui court après le vent, dans sa chevauchée il n'oublie pas l'Empereur Rouge / Sous la lampe verte il lit les annales vertes, tenant la lame du Dragon vert, même caché il n'a pas honte devant le ciel vert. » (traduction de Phan Kế Bính)
destinations.json::[17].quizBank[2].question	Nhân vật nữ này đang bưng thức quả gì?	Quel fruit porte cette figure féminine ?
destinations.json::[17].quizBank[2].options[0]	Quả hồng	Un kaki
destinations.json::[17].quizBank[2].options[1]	Quả đào	Une pêche
destinations.json::[17].quizBank[2].options[2]	Quả phật thủ	Un cédrat « main de Bouddha »
destinations.json::[17].quizBank[2].explain	Bức tranh “Ma Cô hiến thọ” vẽ lại cảnh tiên nữ Ma Cô mang đào tiên chúc thọ Tây Vương Mẫu. Đây chính là hình ảnh trang trí quen thuộc trên những chiếc đĩa cô tiên. Trong bức tranh ở Hội quán Quảng Triệu còn xuất hiện mô-típ tùng và hạc.	La peinture « Ma Cô offrant la longévité » montre l'immortelle Ma Cô portant la pêche d'immortalité pour souhaiter longue vie à la Reine-Mère d'Occident — un motif familier des assiettes aux immortels. Dans le tableau de la maison cantonaise apparaissent aussi le pin et la grue.
destinations.json::[17].short	Từng là nơi hội họp của các thương nhân Quảng Đông, một hội quán uy nghi, bề thế, và mực thước trong kể chuyện.	Ancien lieu de réunion des marchands cantonais : imposant, ample, et mesuré dans sa manière de raconter.
destinations.json::[17].highlights[0]	Tác phẩm “ngư long hý thuỷ”	L'œuvre « le poisson-dragon jouant dans l'eau »
destinations.json::[17].highlights[1]	Các bức tranh minh hoạ tích truyện Quan Công	Les peintures illustrant les récits de Quan Công
destinations.json::[17].highlights[2]	Các chi tiết hoa trái mang tính biểu tượng	Les détails de fleurs et de fruits, chargés de sens
destinations.json::[18].name	Hội quán Phúc Kiến	La maison de congrégation du Fujian
destinations.json::[18].description	Hội quán tráng lệ nhất phố Hội, với những chi tiết trang trí tinh xảo, tái hiện hải trình của những thương nhân Phước Kiến cùng lòng thành kính với Thiên Hậu Thánh Mẫu.	La plus somptueuse maison de congrégation de Hội An : ses ornements minutieux racontent les traversées des marchands du Fujian et leur dévotion à Thiên Hậu.
destinations.json::[18].quizBank[0].question	Hình ảnh nào dưới đây là mái của Hội quán Phước Kiến?	Laquelle de ces images montre le toit de la maison du Fujian ?
destinations.json::[18].quizBank[0].options[0]	Ảnh 1	Image 1
destinations.json::[18].quizBank[0].options[1]	Ảnh 3	Image 3
destinations.json::[18].quizBank[0].options[2]	Ảnh 2	Image 2
destinations.json::[18].quizBank[0].explain	Khác với kiểu nóc mái thẳng tắp của Quảng Đông, kiến trúc mái đặc trưng của vùng Phúc Kiến có bờ nóc võng xuống như con thuyền đang cưỡi sóng. Phần trang trí cũng công phu hơn so với các hội quán khác.	À la différence du faîtage rectiligne cantonais, le toit du Fujian se creuse au milieu comme une barque sur la vague ; son décor est aussi plus travaillé que celui des autres maisons.
destinations.json::[18].quizBank[1].question	Tại sao Hội quán Phước Kiến và nhiều hội quán khác của người Hoa lại thờ bà Thiên Hậu? Gợi ý: Hãy quan sát những bức tranh và mô hình trong hội quán	Pourquoi la maison du Fujian et bien d'autres maisons chinoises vénèrent-elles Thiên Hậu ? Indice : regardez les peintures et la maquette
destinations.json::[18].quizBank[1].options[0]	Để tưởng nhớ công dẹp giặc	Pour honorer une victoire sur les envahisseurs
destinations.json::[18].quizBank[1].options[1]	Để cầu bình an khi đi biển	Pour demander la sécurité en mer
destinations.json::[18].quizBank[1].options[2]	Để cầu tài lộc	Pour demander la fortune
destinations.json::[18].quizBank[1].explain	Ngay sau khi bước vào tiền điện, du khách sẽ thấy ở phía tường Đông là bích họa Thiên Hậu Thánh Mẫu cùng đệ tử cầm đèn lồng vượt sóng gió đến cứu người bị nạn và ở phía tường Tây là bích họa Lục Tánh Vương Gia cưỡi ngựa xung trận. Bên trong chính điện có mô hình thương thuyền được trang trí kỳ công với một gian thờ Thiên Hậu trên thuyền.	À peine entré dans le hall avant, on voit sur le mur est la fresque de Thiên Hậu et de ses acolytes, lanternes en main, franchissant la tempête pour secourir les naufragés ; sur le mur ouest, les Six Princes chevauchant au combat. Dans le sanctuaire, une maquette de navire marchand richement ornée porte à son bord une niche dédiée à Thiên Hậu.
destinations.json::[18].quizBank[2].question	Hai vị thần được thờ phụng trong chính điện cùng Bà Thiên Hậu là ai?	Quels sont les deux dieux vénérés avec Thiên Hậu dans le sanctuaire ?
destinations.json::[18].quizBank[2].options[0]	Thanh Long - Bạch Hổ	Le Dragon vert et le Tigre blanc
destinations.json::[18].quizBank[2].options[1]	Thần Đồ - Uất Lũy	Shentu et Yulei
destinations.json::[18].quizBank[2].options[2]	Thiên Lý Nhãn - Thuận Phong Nhĩ	Mille-Lieues-Yeux et Oreille-au-Vent
destinations.json::[18].quizBank[2].explain	Hai vị thần phò tá Thiên Hậu Thánh Mẫu là Thiên Lý Nhãn và Thuận Phong Nhĩ. Thiên Lý Nhãn có thể nhìn thấy mọi việc ở khoảng cách rất xa, giúp Bà phát hiện tàu thuyền gặp nạn trên biển, còn Thuận Phong Nhĩ có thể nghe được tiếng kêu cứu từ muôn nơi theo chiều gió.	Les deux acolytes de Thiên Hậu sont Mille-Lieues-Yeux, qui voit ce qui se passe très loin et lui signale les navires en détresse, et Oreille-au-Vent, qui entend les appels au secours portés par le vent depuis n'importe où.
destinations.json::[18].quizBank[3].question	Những đôi giày trong tủ kính dành cho ai?	À qui étaient destinées ces chaussures dans la vitrine ?
destinations.json::[18].quizBank[3].options[0]	Những người phụ nữ bó chân gót sen	Aux femmes aux pieds bandés
destinations.json::[18].quizBank[3].options[1]	Tượng thờ các vị thần	Aux statues des dieux
destinations.json::[18].quizBank[3].options[2]	Vũ công múa thủy tụ	Aux danseuses aux manches d'eau
destinations.json::[18].quizBank[3].explain	Tủ kính trưng bày các vật dụng của người Hoa xưa. Những đôi giày trong tủ được dùng khi bó chân gót sen. Tập tục này bắt đầu từ thời nhà Tống, được coi là biểu tượng của cái đẹp và địa vị. Đến thời nhà Thanh, tuy lệnh cấm được ban hành, song ít người tuân thủ. Đến thế kỷ XIX, có khoảng một nửa phụ nữ Trung Hoa thực hành bó chân.	La vitrine présente les objets du quotidien de l'ancienne communauté chinoise. Ces chaussures se portaient sur des pieds bandés — coutume née sous les Song, tenue pour un signe de beauté et de rang. Les Qing l'interdirent sans grand effet : au XIXe siècle, environ la moitié des femmes chinoises avaient les pieds bandés.
destinations.json::[18].quizBank[4].question	Bức tranh vẽ những đứa trẻ này được tìm thấy ở đâu?	Où trouve-t-on cette peinture d'enfants ?
destinations.json::[18].quizBank[4].options[0]	Nhà Đông	Dans le bâtiment est
destinations.json::[18].quizBank[4].options[1]	Án thờ 3 bà Chúa Sanh thai và 12 bà mụ	Sur l'autel des trois Déesses de la naissance et des douze matrones
destinations.json::[18].quizBank[4].options[2]	Án thờ Lục Tánh vương gia	Sur l'autel des Six Princes
destinations.json::[18].quizBank[4].explain	Ba bà Chúa Sanh thai (Tam Tiêu Nương Nương) và 12 bà mụ lo việc tạo hình hài, ban phước, bảo trợ cho việc cầu tự (cầu con), thai kỳ bình an và mẹ tròn con vuông. Tượng 12 bà mụ thường khắc họa các vị trong các động tác chăm sóc, bồng bế trẻ thơ khác nhau.	Les trois Déesses de la naissance (Tam Tiêu Nương Nương) et les douze matrones façonnent l'enfant, accordent les bénédictions et protègent la demande d'enfant, la grossesse et l'accouchement. Les douze sont souvent sculptées en train de bercer et de soigner des nourrissons.
destinations.json::[18].short	Hội quán tráng lệ nhất với những chi tiết trang trí tinh xảo làm từ gốm sứ và nhiều chất liệu khác.	La plus somptueuse des maisons de congrégation, aux ornements finement faits de porcelaine et d'autres matières.
destinations.json::[18].highlights[0]	Cổng tam quan uy nghi	L'imposante porte à trois passages
destinations.json::[18].highlights[1]	Mô hình thương thuyền vượt biển sống động	La maquette vivante du navire marchand franchissant la mer
destinations.json::[18].highlights[2]	Hoành phi và liễn đối do Ngô Lỗ, Trạng nguyên cuối cùng của lịch sử Tuyền Châu (Phước Kiến), cúng vào năm 1897	Le panneau et le distique offerts en 1897 par Wu Lu, dernier lauréat suprême de l'histoire de Quanzhou (Fujian)
destinations.json::[19].name	Hội quán Hải Nam	La maison de congrégation de Hainan
destinations.json::[19].description	Sinh sau đẻ muộn và hiếm khi được ngợi ca là tráng lệ hay lộng lẫy, Hội quán Hải Nam như một cuốn sử phong phú khiến người ta ngỡ ngàng một khi bước vào trong.	Bâtie plus tard et rarement louée pour sa magnificence, la maison de Hainan est comme un livre d'histoire dense : elle surprend dès qu'on y entre.
destinations.json::[19].quizBank[0].question	Trong hai con lân này, con nào là lân đực và con nào là lân cái?	De ces deux lions-licornes, lequel est le mâle et lequel la femelle ?
destinations.json::[19].quizBank[0].options[0]	Cả A và B đều là lân đực	A et B sont tous deux des mâles
destinations.json::[19].quizBank[0].options[1]	A là lân cái, B là lân đực	A est la femelle, B le mâle
destinations.json::[19].quizBank[0].options[2]	A là lân đực, B là lân cái	A est le mâle, B la femelle
destinations.json::[19].quizBank[0].explain	Thông thường, lân đực được khắc họa trong tư thế “lân hí cầu” với quả cầu tượng trưng cho mặt trời dưới chân, còn lân cái trong tư thế "lân giáo tử", dùng chân trước ôm ngang lưng con lân con. Tượng lân cũng được sắp đặt theo nguyên tắc “nam tả nữ hữu”, trong đó lân cái nằm ở phía tay phải nhìn từ trong chính điện ra. Bức tường phía ngoài hội quán cũng có hai bức phù điêu lân mang bát bảo và kỳ mang ám bát tiên.	D'ordinaire le mâle est sculpté en « lion jouant à la boule », une sphère solaire sous la patte, et la femelle en « lionne instruisant son petit », la patte avant passée autour de son lionceau. Les statues suivent aussi la règle « mâle à gauche, femelle à droite » : vue depuis le sanctuaire vers la sortie, la femelle est à droite. Le mur extérieur porte deux reliefs : un lion aux Huit Trésors et un qilin aux emblèmes cachés des Huit Immortels.
destinations.json::[19].quizBank[1].question	Tại sao Hội quán Hải Nam lại thờ 108 vị Chiêu Ứng Công?	Pourquoi la maison de Hainan vénère-t-elle les 108 Chiêu Ứng Công ?
destinations.json::[19].quizBank[1].options[0]	Tưởng nhớ oai linh 108 vị anh hùng Lương Sơn Bạc đứng lên chống lại cái ác	Pour honorer les 108 héros de Liangshan dressés contre le mal
destinations.json::[19].quizBank[1].options[1]	Tưởng nhớ công ơn 108 tiền hiền đã đặt nền móng cho sự phát triển của bang Hải Nam	Pour honorer les 108 anciens qui ont fondé la communauté de Hainan
destinations.json::[19].quizBank[1].options[2]	Tưởng nhớ vong linh 108 vị thương buôn chết oan đã hiển linh phù hộ thuyền bè trên biển	Pour honorer les 108 marchands injustement tués, qui protégèrent ensuite les navires en mer
destinations.json::[19].quizBank[1].explain	Mùa hạ năm 1851, 108 thương buôn người Hải Nam đã bị một số quan binh triều Nguyễn sát hại vì coi là cướp biển. Vua Tự Đức khi biết chuyện đã minh oan và sắc phong cho các vị là Chiêu Ứng Anh Liệt. Cặp liễn đối hai bên hương án chính có nghĩa: Khí khái tụ thành thần, theo dấu anh linh do oan trái; Đức độ xây nên miếu, thương kẻ đồng hương ở chốn xa.	À l'été 1851, 108 marchands de Hainan furent tués par des soldats de la cour des Nguyễn qui les prirent pour des pirates. L'empereur Tự Đức, informé, les réhabilita et leur donna le titre de « Chiêu Ứng Anh Liệt ». Le distique de l'autel dit : « La force d'âme rassemblée devient divinité, suivant la trace des esprits nés de l'injustice ; la vertu accumulée élève un temple, par compassion pour les compatriotes en terre lointaine. »
destinations.json::[19].quizBank[2].question	Bao lam (cửa võng, rèm gỗ) ở cửa chính điện có đề tài gì?	Quel est le motif du lambrequin sculpté au-dessus de la porte du sanctuaire ?
destinations.json::[19].quizBank[2].options[0]	Tùng thử bồ đào (sóc và dây nho)	« L'écureuil et la vigne » (Tùng thử bồ đào)
destinations.json::[19].quizBank[2].options[1]	Hoa - điểu (hoa và chim muông)	« Fleurs et oiseaux »
destinations.json::[19].quizBank[2].options[2]	Tùng - hạc	« Le pin et la grue »
destinations.json::[19].quizBank[2].explain	Tùng Thử Bồ Đào (松鼠葡萄) là đề tài kinh điển biểu trưng cho phú quý – sung túc – vạn sự hưng long. Hình ảnh sóc trèo nho thể hiện sự sinh sôi – đông con cháu, là lời chúc cát tường cho gia đạo thịnh vượng.	« L'écureuil et la vigne » est un motif classique de richesse, d'abondance et de prospérité en tout. L'écureuil grimpant à la vigne dit la fécondité et la nombreuse descendance : un vœu de prospérité pour la maison.
destinations.json::[19].short	Hội quán giản dị song lại mang những chi tiết độc nhất, chứa đựng bề dày văn hoá Trung Hoa.	Une maison sobre mais aux détails uniques, où tient l'épaisseur de la culture chinoise.
destinations.json::[19].highlights[0]	Khúc bi hùng ca của 108 vị Chiêu Ứng Công	La complainte héroïque des 108 Chiêu Ứng Công
destinations.json::[19].highlights[1]	Hương án chính thếp vàng, được chạm lộng tinh vi với nhiều đề tài văn hoá	L'autel principal doré à la feuille, ajouré de motifs culturels très fins
destinations.json::[19].highlights[2]	Bộ cửa vẽ lại điển tích “Nhị thập tứ hiếu”	Les vantaux peints des « Vingt-Quatre Piétés filiales »
destinations.json::[19].highlights[3]	Kiến trúc song mái độc nhất tại Hội An	La seule charpente à double toit de Hội An
destinations.json::[20].name	Hội quán Triều Châu	La maison de congrégation de Teochew (Triều Châu)
destinations.json::[20].description	Hội quán Triều Châu sinh động với các chi tiết chạm gỗ trứ danh của người Tiều. Đề tài trang trí phong phú, tạo hình sáng tạo.	La maison de Teochew vit par le fameux travail du bois des artisans teochew : des sujets variés, des formes inventives.
destinations.json::[20].quizBank[0].question	Bạn có thể đi tìm chú ngựa này không? Người bạn của chú có bộ lông màu gì?	Saurez-vous trouver ce cheval ? De quelle robe est son compagnon ?
destinations.json::[20].quizBank[0].options[0]	Trắng	Blanche
destinations.json::[20].quizBank[0].options[1]	Đen	Noire
destinations.json::[20].quizBank[0].options[2]	Nâu	Brune
destinations.json::[20].quizBank[1].question	Hình ảnh này là đặc trưng của mùa nào?	Quelle saison cette image représente-t-elle ?
destinations.json::[20].quizBank[1].options[0]	Hạ	L'été
destinations.json::[20].quizBank[1].options[1]	Thu	L'automne
destinations.json::[20].quizBank[1].options[2]	Xuân	Le printemps
destinations.json::[20].quizBank[1].explain	Ở Trung Quốc, tứ quý danh hoa là "Xuân Lan - Hạ Hà - Thu Cúc - Đông Mai". Trong đó "Lan" là lan kiếm, "Hà" là sen, "Cúc" vẫn là cúc, còn "Mai" là mơ.	En Chine, les quatre fleurs des saisons sont « orchidée du printemps, lotus de l'été, chrysanthème de l'automne, prunier de l'hiver » : l'« orchidée » est le glaïeul-orchidée, le « lotus » est le lotus, le chrysanthème reste le chrysanthème et le « prunier » est le prunus.
destinations.json::[20].quizBank[2].question	Trên phần mái tiền điện có những đề tài trang trí gì?	Quels motifs ornent le toit du hall avant ?
destinations.json::[20].quizBank[2].options[0]	Lưỡng long tranh bình hồ lô, ông Nhật - bà Nguyệt, các linh thú	Deux dragons se disputant la gourde, le dieu du Soleil et la déesse de la Lune, des animaux sacrés
destinations.json::[20].quizBank[2].options[1]	Lưỡng long triều dương, cá chép vượt long môn, bát tiên quá hải	Deux dragons tournés vers le soleil, la carpe franchissant la porte du dragon, les Huit Immortels traversant la mer
destinations.json::[20].quizBank[2].options[2]	Lưỡng long tranh châu, lục quốc phong tướng	Deux dragons se disputant la perle, « les six royaumes nomment leurs généraux »
destinations.json::[20].quizBank[2].explain	Bên cạnh các đồ án lưỡng long hay cá chép vượt long môn, đồ án bát tiên quá hải cũng rất được ưa chuộng trong các kiến trúc của người Hoa. Bát tiên quá hải (tám vị tiên vượt biển) kể về hành trình 8 vị tiên dùng phép thuật và pháp bảo để vượt qua đại dương. Tất cả những pháp khí mà 8 vị tiên sử dụng gọi chung là Ám bát tiên, cũng là một đề tài trang trí phổ biến. Bảo vật ngư cổ của Trương Quả Lão nói về mạng sống của con người. Lã Động Tân mang bảo kiếm có thể ngăn cản tà ma. Cây sáo của Hàn Tương Tử có thể khiến vạn vật sinh sôi và nảy nở. Hà Tiên Cô có hoa sen có thể tu thân dưỡng tính. Hồ lô của Thiết Quản Lý có thể cứu giúp chúng sanh. Quạt của Hán Chung Ly có thể làm hồi sinh. Tấm ngọc của Tào Quốc Cửu có thể làm mọi vật trở nên trong sạch. Giỏ của Lam Thái Hòa có thể quảng thông thần minh.	Outre les dragons appariés ou la carpe franchissant la porte du dragon, les Huit Immortels traversant la mer sont un sujet très aimé de l'architecture chinoise : huit immortels franchissent l'océan grâce à leurs pouvoirs et à leurs attributs. Ces attributs, réunis, forment les « Huit Immortels cachés », autre motif courant. Le tambour-poisson de Zhang Guolao parle de la vie humaine ; l'épée de Lü Dongbin écarte les démons ; la flûte de Han Xiangzi fait croître toute chose ; le lotus de He Xiangu cultive le corps et l'esprit ; la gourde de Li Tieguai sauve les êtres ; l'éventail de Han Zhongli ramène à la vie ; la tablette de jade de Cao Guojiu purifie tout ; le panier de Lan Caihe ouvre la voie vers les dieux.
destinations.json::[20].short	Hội quán rực rỡ nhất với các họa tiết trang trí gỗ phức tạp có tạo hình phong phú trong tầm mắt.	La plus éclatante des maisons : un décor de bois foisonnant, aux formes multiples, à hauteur de regard.
destinations.json::[20].highlights[0]	Trang trí khác nhau ở hai bên vì kèo	Les deux côtés de la charpente, ornés différemment
destinations.json::[20].highlights[1]	Khám thờ và bao lam chạm nhiều điển tích	La niche et le lambrequin sculptés de nombreux récits
destinations.json::[20].highlights[2]	Hệ cửa chạm gỗ và vẽ kính sáng tạo	Les portes, où sculpture sur bois et peinture sous verre se répondent avec invention
destinations.json::[21].name	Đình Cẩm Phô	La maison communale de Cẩm Phô
destinations.json::[21].description	Đình Cẩm Phô là nơi ghi dấu rõ nhất tinh thần cởi mở và chan hoà của thương cảng này. Liễn đối trước Hương Hiền tự ghi: “Lễ nhạc uy nghi kính như thần tại. Âu ca cổ vũ lạc tại nhân hòa”, có nghĩa: Lễ nghi và âm nhạc uy nghiêm, lòng thành kính như thần linh đang hiện diện. Hát ca và múa trống tưng bừng, niềm vui thực sự nằm ở sự hòa hợp của lòng người.	La maison communale de Cẩm Phô garde le plus nettement l'esprit d'ouverture et de concorde de ce port. Devant le sanctuaire Hương Hiền, le distique dit : « Rites et musique en majesté, la révérence comme si les dieux étaient là ; chants et tambours en fête, la vraie joie est dans l'accord des cœurs. »
destinations.json::[21].quizBank[0].question	Mái của phương đình được trang trí với bao nhiêu con phượng?	Combien de phénix ornent le toit du pavillon carré ?
destinations.json::[21].quizBank[0].options[0]	9 con	Neuf
destinations.json::[21].quizBank[0].options[1]	10 con	Dix
destinations.json::[21].quizBank[0].options[2]	8 con	Huit
destinations.json::[21].quizBank[0].explain	Đình có một hệ thống các con giống được tạo hình rất sinh động và độc đáo trang trí cho các bộ phận kiến trúc. Nổi bật là 9 hình chim phượng trên phương đình. Trong phong thuỷ, phượng gắn liền với hành Hỏa, mùa hạ và hướng Nam, mang lại may mắn, cát khí và cơ hội phát triển. Cơ thể của phượng đại diện cho 5 phẩm chất cao quý gồm: đức hạnh (ngay thẳng), lòng nhân đạo (lương thiện), sự công bằng, tính đáng tin (chung thủy) và sự khoan đại.	La maison communale porte, sur chaque partie de sa charpente, des créatures sculptées avec une vie et une singularité rares. Les neuf phénix du pavillon carré se remarquent d'abord. En géomancie, le phénix relève du Feu, de l'été et du sud : il apporte chance, souffle favorable et occasions de croître. Son corps figure cinq vertus : la droiture, la bonté, la justice, la fidélité et la générosité.
destinations.json::[21].quizBank[1].question	Tại sao Đình Cẩm Phô lại có tên Cẩm Phô Hương Hiền?	Pourquoi la maison communale de Cẩm Phô est-elle aussi appelée « Cẩm Phô Hương Hiền » ?
destinations.json::[21].quizBank[1].options[0]	Đình lưu giữ các ký ức từ xa xưa	Parce qu'elle garde des mémoires très anciennes
destinations.json::[21].quizBank[1].options[1]	Đình có thờ các vị tiền hiền, hậu hiền làng Cẩm Phô	Parce qu'elle vénère les worthies anciens et récents du village de Cẩm Phô
destinations.json::[21].quizBank[1].options[2]	Đình là nơi tổ chức sinh hoạt văn hoá truyền thống	Parce qu'on y tient les activités culturelles traditionnelles
destinations.json::[21].quizBank[1].explain	Đình trước đây thờ bà Đại Càn và các vị thần sông nước, về sau kết hợp thờ các vị tiền hiền và hậu hiền của làng Cẩm Phô. Trong đình là những hoành phi, liễn đối thể hiện đạo lý “uống nước nhớ nguồn” như “Ẩm hà tư nguyên” (phiên bản chữ Hán của “uống nước nhớ nguồn”) hay “Quang tiền dụ hậu” mang nghĩa: rạng rỡ đời trước, sung túc đời sau.	La maison vénérait autrefois la déesse Đại Càn et les divinités des eaux ; plus tard s'y ajoutèrent les worthies anciens et récents du village de Cẩm Phô. À l'intérieur, panneaux et distiques disent le devoir de se souvenir de sa source : « boire l'eau du fleuve, penser à sa source », ou « faire briller ceux d'avant, enrichir ceux d'après ».
destinations.json::[21].short	Kết tinh của các giá trị văn hoá Việt – sự cởi mở và chan hoà khiến cho cảng thị phồn vinh.	La cristallisation des valeurs vietnamiennes : l'ouverture et la concorde qui firent la prospérité du port.
destinations.json::[21].highlights[0]	Các liễn đối truyền tải chiều sâu văn hoá Việt	Les distiques, porteurs de la profondeur de la culture vietnamienne
destinations.json::[21].highlights[1]	Các con giống trang trí trên phần mái	Les créatures qui ornent le toit
destinations.json::[22].name	Tụy Tiên Đường Minh Hương	Le Tụy Tiên Đường Minh Hương
destinations.json::[22].description	Hai chữ Minh Hương (明香) vốn có nghĩa giữ gìn hương hỏa nhà Minh, sau đổi thành 明鄉 để chỉ làng của những người gốc nhà Minh. Tụy Tiên Đường là một di tích tiêu biểu của cộng đồng Minh Hương	Les deux mots Minh Hương (明香) signifiaient d'abord « entretenir l'encens des Ming » ; ils devinrent 明鄉, le village des descendants des Ming. Le Tụy Tiên Đường en est le monument emblématique.
destinations.json::[22].quizBank[0].question	Con hạc này đang đứng trên lưng con vật nào?	Sur le dos de quel animal se tient cette grue ?
destinations.json::[22].quizBank[0].options[0]	Cá	Un poisson
destinations.json::[22].quizBank[0].options[1]	Rùa	Une tortue
destinations.json::[22].quizBank[0].options[2]	Cua	Un crabe
