path	vi
destinations.json::[23].quizBank[0].explain	Tên gọi đình Ông Voi xuất phát từ cặp tượng voi quỳ phục đặt ở sân trước. Hai pho tượng có kích thước lớn, chạm khắc tinh xảo, khoác lễ phục với nhiều chi tiết trang trí. Hình tượng voi không chỉ gây ấn tượng thị giác mà còn gắn liền với biểu tượng sức mạnh, trí tuệ trong văn hóa - tín ngưỡng dân gian. Trong Phật giáo, voi cũng là một biểu tượng của sức mạnh tâm thức, gắn với nhiều điển tích.
destinations.json::[23].quizBank[1].question	Đây là con vật gì?
destinations.json::[23].quizBank[1].options[0]	Long mã
destinations.json::[23].quizBank[1].options[1]	Sư tử
destinations.json::[23].quizBank[1].options[2]	Lân
destinations.json::[23].quizBank[1].explain	Hình trên bình phong là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.
destinations.json::[23].quizBank[2].question	Bạn đã lên ban thờ trên tầng hai chưa? Hãy đi tìm lối lên tầng. Trên mái nhà đối diện là hoạ tiết gì?
destinations.json::[23].quizBank[2].options[0]	Cá và bình hồ lô
destinations.json::[23].quizBank[2].options[1]	Rồng dây và mặt trời
destinations.json::[23].quizBank[2].options[2]	Rồng và bình hồ lô
destinations.json::[23].short	Tưởng không bất ngờ, nhưng bất ngờ không tưởng với đường đi lên hậu tẩm
destinations.json::[23].highlights[0]	Hình tượng trang trí ấn tượng ở sân trước
destinations.json::[23].highlights[1]	Hậu tẩm hai tầng độc đáo – view phố cổ có một không hai
destinations.json::[24].name	Điểm tham quan trình nghề Xí Mà
destinations.json::[24].description	Chè mè đen từng theo những gánh hàng rong đi khắp phố cổ từ sáng sớm. Ở điểm trình nghề, khách xem cách xay mè, nấu chè và nghe vì sao bát chè này vừa là món ăn vừa là thang thuốc.
destinations.json::[24].quizBank[0].question	Thành phần nào sau đây không có trong chè Xí Mà?
destinations.json::[24].quizBank[0].options[0]	Thanh địa
destinations.json::[24].quizBank[0].options[1]	Bột sắn
destinations.json::[24].quizBank[0].options[2]	Rau má
destinations.json::[24].quizBank[0].explain	Nguyên liệu chủ yếu để làm xí mà chính là mè đen, ngoài ra còn có các loại: bột khoai, thanh địa, rau má, rau mơ, và đường, những thứ này toàn là những nguyên liệu sẵn có của địa phương, duy chỉ có thanh địa là một vị thuốc của Đông y (thuốc Bắc) phải mua ở tiệm thuốc.
destinations.json::[24].quizBank[1].question	Tên xí mà có nguồn gốc từ đâu?
destinations.json::[24].quizBank[1].options[0]	Phương ngữ miền Trung
destinations.json::[24].quizBank[1].options[1]	Tiếng Nhật
destinations.json::[24].quizBank[1].options[2]	Tiếng Quảng Đông
destinations.json::[24].quizBank[1].explain	Xí mà (đọc lệch từ "chí mà phù") là một từ có gốc từ tiếng Quảng Đông (Trung Quốc), dùng để chỉ món chè mè đen (súp mè đen xay nhuyễn). Chí mà có nghĩa là mè đen và phù có nghĩa là xay nhuyễn.
destinations.json::[24].short	Cơ hội học nấu món chè đặc trưng của Hội An khi đi du lịch
destinations.json::[24].highlights[0]	Cách xay và nấu mè đen theo lối cũ
destinations.json::[24].highlights[1]	Các vị đi cùng mè đen: thanh địa, rau má, rau mơ
destinations.json::[24].highlights[2]	Tự tay nấu và nếm một bát chè nóng
tours.json::[0].title	Vượt biển trèo non
tours.json::[0].short	Hành trình của những người vượt biển đến Hội An
tours.json::[0].description	Từ chuyện 108 thương nhân bị xử oan đến khát khao những chuyến hải trình sóng yên biển lặng, chuyến đi khám phá trải nghiệm của những thương thuyền đến cảng thị Hội An đồng thời giới thiệu đặc trưng kiến trúc của các hội quán khác nhau của cộng đồng Hoa kiều.
tours.json::[0].voucher	Voucher quà tặng (chốt tên sau)
tours.json::[1].title	Một tấc lòng son
tours.json::[1].short	Cuộc đời, sự nghiệp và tư tưởng của trí thức Hội An
tours.json::[1].description	Dọc theo hành trình này, du khách sẽ khám phá cuộc đời, sự nghiệp và tư tưởng của các trí thức ở Hội An: từ tấm gương trung hiếu tiết nghĩa được đông đảo nho sĩ ở các vùng phía Nam Trung Hoa và khắp Việt Nam thờ phụng, cho đến quan lại thời nhà Nguyễn và thế hệ chí sĩ Duy Tân.
tours.json::[1].voucher	Voucher quà tặng (chốt tên sau)
tours.json::[2].title	Lạc tại nhân hòa
tours.json::[2].short	Cuộc bộ hành khám phá sự đa dạng văn hoá của Hội An
tours.json::[2].description	Bắt đầu từ văn hóa Nhật Bản, Trung Hoa cho tới truyền thống Việt Nam, tuyến đường này tôn vinh sự phong phú về văn hóa của Hội An, đồng thời thể hiện nét chan hòa, cởi mở đặc trưng của một phố cảng - nơi nhiều sắc thái văn hóa đồng hành và phát triển.
tours.json::[2].voucher	Voucher quà tặng (chốt tên sau)
tours.json::[3].title	Ngày vàng Phố Hội
tours.json::[3].short	Khám phá một thời vàng son của cảng thị Hội An
tours.json::[3].description	Hành trình khám phá nét phong phú trong văn hóa, sự trù phú do thiên nhiên ban tặng cùng hệ thống thương mại phát triển của Hội An. Tất cả tạo nên một cảng thị phồn vinh với những mặt hàng quý hiếm, đắt đỏ nhưng không làm mất đi sự giàu có trong tâm hồn người.
tours.json::[3].voucher	Voucher quà tặng (chốt tên sau)
rewards.json::[0].title	Quà đầu tiên
rewards.json::[0].reward	Voucher 50.000đ của Vigift hoặc giảm 10% ở VAN•HOA
rewards.json::[1].title	Voucher lớn hơn
rewards.json::[1].reward	Voucher 100.000đ của Vigift hoặc giảm 15% ở VAN•HOA
rewards.json::[2].title	Món quà cầm tay
rewards.json::[2].reward	Set charm DIY hoạ tiết Trung thu hoặc quạt Tuần lễ Sáng tạo Hội An
rewards.json::[3].title	Chiếc khăn Tuần lễ
rewards.json::[3].reward	Khăn Tuần lễ Sáng tạo Hội An
rewards.json::[4].title	Quà lớn nhất
rewards.json::[4].reward	Set quà Vigift Đà Nẵng
categories.json::[0].label	Di tích
categories.json::[1].label	Hội quán
categories.json::[2].label	Nhà cổ
categories.json::[3].label	Bảo tàng
categories.json::[4].label	Trải nghiệm & trình diễn
ticket-points.json::[0].where	Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa
ticket-points.json::[1].where	Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện
ticket-points.json::[2].where	Đầu đường Nguyễn Phúc Chu
ticket-points.json::[3].where	Công viên Phan Châu Trinh
ticket-points.json::[4].where	Cạnh chùa Cầu
ticket-points.json::[5].where	Đầu cầu An Hội, bên Nguyễn Phúc Chu
ticket-points.json::[6].where	Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ
ticket-points.json::[7].where	Trên đường Lê Lợi, cạnh Đình Hội An
ticket-points.json::[8].where	Trên đường Hoàng Văn Thụ, ra bờ sông
ticket-points.json::[9].where	Góc đường Phan Châu Trinh - Nguyễn Huệ
ticket-points.json::[10].where	Điểm bán vé tại bãi xe Hoiango
strings.js::explore	Khám phá
strings.js::tours	Hành trình
strings.js::passport	Sổ tay
strings.js::all	Tất cả
strings.js::no_sites	Chưa có điểm đến.
strings.js::directions	Chỉ đường
strings.js::checkin	Check-in
strings.js::locating	Đang định vị...
strings.js::retry	Thử lại
strings.js::back	Quay lại
strings.js::far	Quá xa. Hãy đến gần hơn.
strings.js::geo_denied	Bật vị trí để check-in.
strings.js::allow_location	Bật vị trí
strings.js::geo_fail	Lỗi định vị. Thử lại ngoài trời.
strings.js::continue_btn	Tiếp tục
strings.js::correct_title	Chính xác
strings.js::wrong_title	Chưa đúng
strings.js::nav_start	Lên đường
strings.js::nav_here	Check-in tại đây
strings.js::continue_tour	Tiếp tục tuyến
strings.js::nav_locate_prompt	Cần vị trí để dẫn đường
strings.js::nav_enable	Bật định vị
strings.js::nav_done	Đã hoàn thành tuyến
strings.js::nav_exit	Thoát
strings.js::nav_seepassport	Xem sổ tay
strings.js::checkin_done	Đã check-in và lưu tem.
strings.js::route	Lộ trình
strings.js::tour_extra	Còn thời gian thì ghé thêm
strings.js::plan	Gợi ý
strings.js::plan_title	Chọn điểm
strings.js::plan_cta	Gợi ý 5 điểm
strings.js::plan_scan	Quét vé để lưu
strings.js::scan_btn	Quét vé
strings.js::scan_saved	Đã lưu vé.
strings.js::scan_why	Bạn cần vé để nhận quà lớn hơn.
strings.js::scan_saved_short	Đã lưu vé
strings.js::see_detail	Xem chi tiết
strings.js::buy_ticket	Mua vé ở đâu?
strings.js::close_btn	Đóng
strings.js::scan_point	Quét mã QR trên vé
strings.js::scan_unsupported	Lỗi camera. Bật camera hoặc chọn điểm bên dưới.
strings.js::scan_bad_ticket	Mã không hợp lệ. Vui lòng quét vé Hội An.
strings.js::welcome_start	Tiếp tục
strings.js::scan_title	Quét mã vé
strings.js::scan_skip	Bỏ qua, chọn điểm ngay
strings.js::terms_pre	Bạn đồng ý với 
strings.js::terms_link	điều khoản sử dụng
strings.js::terms_post	.
strings.js::terms_title	Điều khoản
strings.js::perm_lead	Cho phép vị trí và chuyển động để tìm điểm đến phù hợp và dẫn đường.
strings.js::study_agree	Tham gia nghiên cứu
strings.js::feat_map	Khám phá 25 điểm di sản & tạo hành trình phù hợp
strings.js::feat_ticket	Check-in và nhận mắt cửa tại mỗi điểm
strings.js::feat_plan	Đổi mắt cửa và nhận quà
strings.js::perm_title	Vị trí và chuyển động
strings.js::your_ticket	Vé của bạn
strings.js::route_label	Tuyến của bạn
strings.js::route_resume	Tiếp tục hành trình
strings.js::route_more	Xem thêm hành trình
strings.js::route_empty	Chưa có tuyến. Chọn 5 điểm.
strings.js::all_sites	Tất cả điểm đến
strings.js::r_higher	Đã đủ điểm
strings.js::view_mode	Chế độ xem
strings.js::view_list	Danh sách
strings.js::view_map	Bản đồ
strings.js::step_monument	Di tích
strings.js::step_museum	Bảo tàng
strings.js::step_free	3 điểm tự do
strings.js::rec_head	Gợi ý tuyến
strings.js::rec_badge	Đề xuất
strings.js::use_set	Chọn tuyến này
strings.js::pick_own	Tự chọn 5 điểm
strings.js::reset_picks	Xóa hết
strings.js::auto_pick	Chọn giúp tôi
strings.js::pick_hint	Chạm để bắt đầu
strings.js::scroll_more	Thêm bộ lọc
strings.js::see_more	Xem thêm
strings.js::list_less	Thu gọn
strings.js::pick_do	Chọn
strings.js::pick_remove	Bỏ chọn
strings.js::done_title	Hành trình của bạn
strings.js::go_checkin	Lên đường
strings.js::edit_plan	Chọn lại
strings.js::lang_switch	Ngôn ngữ (Language)
strings.js::set_complete	Đã hoàn thành bộ tem.
strings.js::tour_to_passport	Đã cộng điểm. Đổi quà trong Sổ tay.
strings.js::redeem_intro	Đưa màn hình này cho nhân viên để nhận quà.
strings.js::redeem_title	Đổi quà
strings.js::redeem_none	Chưa có quà.
strings.js::needs_ticket_tag	Cần vé
strings.js::gift_ticket_hint	Quét mã QR vé để nhận.
strings.js::tk_check	Đối chiếu vé
strings.js::tk_none	Chưa quét vé
strings.js::staff_confirm	Nhân viên xác nhận
strings.js::enter_code	Nhập mã nhân viên
strings.js::wrong_code	Sai mã.
strings.js::staff_only	Dành cho ban tổ chức. Nhập mã để xem.
strings.js::redeem_closed	Đổi quà tại quầy vé từ 28/8 đến 02/9.
strings.js::install	Cài ứng dụng
strings.js::install_next	Đã hiểu
strings.js::install_now	Cài đặt ngay
strings.js::locate_me	Vị trí của tôi
strings.js::reset_north	Hướng Bắc
strings.js::research_optin	Góp dữ liệu ẩn danh cho nghiên cứu: điểm ghé, thứ tự trong lượt thăm, vị trí thô. Không tên, không số máy, không nối giữa các lần dùng. Tắt được tại đây.
strings.js::study_note	Dữ liệu giúp ban tổ chức xem mật độ tại các điểm đến.
strings.js::prev_site	Điểm trước
strings.js::next_site	Điểm sau
strings.js::booth_find	Quầy vé gần nhất
strings.js::org_heat	Bản đồ nhiệt
strings.js::org_heat_hint	Dữ liệu mật độ ẩn danh theo ô ~150m. Không lưu lộ trình.
strings.js::org_heat_filter	Lọc theo quốc tịch:
strings.js::org_lang	Ngôn ngữ/Quốc tịch
strings.js::org_lang_hint	Quốc tịch dự đoán qua ngôn ngữ thiết bị và ngôn ngữ đã chọn.
strings.js::org_lang_device	Ngôn ngữ thiết bị
strings.js::org_lang_pick	Ngôn ngữ đã chọn
strings.js::org_nat	Hành vi theo quốc tịch
strings.js::org_nat_hint	Lượt tương tác ẩn danh theo nhóm ngôn ngữ.
strings.js::org_nat_metric	Chỉ số
strings.js::org_journeys	Hành trình
strings.js::org_journeys_hint	Thứ tự tham quan theo lượt (khách chưa tắt nghiên cứu).
strings.js::org_journeys_export	Tải dữ liệu (CSV)
strings.js::org_events	Sự kiện khác
strings.js::org_flagged	Sổ tay bất thường
strings.js::org_flagged_none	Không có sổ tay bất thường.
strings.js::org_flagged_hint	Thời gian di chuyển bất thường.
strings.js::flag_warn	Sổ tay có dấu hiệu bất thường. Xác nhận lại trước khi phát voucher.
strings.js::points	điểm
strings.js::perfect_bonus	Đúng lần đầu
strings.js::spotlight	Đề xuất
strings.js::rewards_title	Điểm & Quà
strings.js::pp_more	Cài đặt
strings.js::reward_taken	Đã nhận
strings.js::one_gift_note	Mỗi sổ tay nhận 1 phần quà.
strings.js::score_how	Cách tính điểm
strings.js::pt_stamp	khi check-in
strings.js::pt_perfect	trả lời đúng ngay lần đầu
strings.js::pt_spotlight	ghé điểm vắng khách
strings.js::pt_tour	hoàn thành tuyến
strings.js::backup_title	Sao lưu
strings.js::backup_hint	Lưu mã bên dưới để khôi phục tem khi đổi thiết bị.
strings.js::copy	Sao chép
strings.js::copied	Đã sao chép
strings.js::copy_link	Sao chép link
strings.js::restore	Khôi phục
strings.js::restore_or_code	Nhập mã 8 ký tự:
strings.js::ticket_taken	Vé đã quét ở thiết bị khác. Quét lại để lấy dữ liệu.
strings.js::restore_ok	Đã khôi phục.
strings.js::restore_bad	Mã phải có 8 ký tự.
strings.js::restore_offline	Lỗi mạng. Thử lại sau.
strings.js::offline_ok	Vẫn có thể check-in offline. Ứng dụng sẽ đồng bộ khi có mạng.
strings.js::ticket_points	Điểm bán vé
strings.js::popup_detail	Xem & check-in
strings.js::dont_miss	Đừng bỏ lỡ
strings.js::open_now	Đang mở
strings.js::closed_now	Đã đóng
strings.js::org_title	Quản lý
strings.js::org_sub	Dữ liệu check-in
strings.js::org_evenness	Độ phân bổ
strings.js::org_total	Lượt check-in
strings.js::org_covered	Điểm có khách
strings.js::org_spotlight_now	Đang đề xuất
strings.js::org_refresh	Tải lại
strings.js::org_export	Tải CSV
strings.js::org_no_data	Chưa có dữ liệu.
strings.js::org_survey	Tọa độ cần khảo sát
strings.js::org_quiz_todo	Điểm chưa có câu hỏi
strings.js::org_nearest_ticket	Quầy vé gần nhất
strings.js::org_traffic	Lượng khách
strings.js::org_priority	Ưu tiên
strings.js::lvl_low	thấp
strings.js::lvl_medium	vừa
strings.js::lvl_high	cao
strings.js::org_tier_volunteer	Tình nguyện viên (xem)
strings.js::org_tier_admin	Ban tổ chức (sửa)
strings.js::org_edit	Sửa nội dung
strings.js::org_edit_hint	Sửa, tải JSON và gửi kỹ thuật. Dữ liệu không lưu trên máy chủ.
strings.js::org_need_admin	Cần mã ban tổ chức để sửa.
strings.js::org_tab_dest	Điểm đến
strings.js::org_tab_tours	Tuyến
strings.js::org_tab_rewards	Phần thưởng
strings.js::org_tours_hint	Thứ tự theo điểm đến. Một điểm thuộc một tuyến. Điểm ngoài tuyến vẫn nhận tem.
strings.js::org_add_tour	Thêm tuyến
strings.js::org_del_tour	Xóa tuyến
strings.js::org_add_stop	Thêm điểm dừng
strings.js::org_add_tier	Thêm mốc
strings.js::org_del_tier	Xóa mốc
strings.js::org_load_json	Mở file
strings.js::org_reset	Về bản gốc
strings.js::org_reset_confirm	Bỏ các thay đổi?
strings.js::org_data_ok	Dữ liệu hợp lệ
strings.js::org_add_q	Thêm câu hỏi
strings.js::org_del_q	Xóa câu
strings.js::org_add_opt	Thêm đáp án
strings.js::org_del_opt	Xóa
strings.js::org_answer	Đáp án đúng
strings.js::org_needs_survey	Cần khảo sát
strings.js::f_code	Mã
strings.js::f_name	Tên
strings.js::f_address	Địa chỉ
strings.js::f_hours	Giờ mở cửa
strings.js::f_short	Giới thiệu ngắn
strings.js::f_desc	Giới thiệu
strings.js::f_category	Nhóm
strings.js::f_radius	Bán kính (m)
strings.js::f_question	Câu hỏi
strings.js::f_title	Tiêu đề
strings.js::f_voucher	Quà tặng
strings.js::f_stops	Điểm dừng
strings.js::f_points	Điểm
strings.js::f_icon	Biểu tượng
strings.js::f_reward	Phần thưởng
strings.js::org_details	Chi tiết
strings.js::lvl_easy	dễ
strings.js::lvl_hard	khó
strings.js::nav_arrived_at()	Đã đến {name}
strings.js::nav_to()	{dist} tới {name}
strings.js::question_of()	Câu {i}/{n}
strings.js::stops()	{n} điểm dừng
strings.js::walk_time()	{m} phút đi bộ
strings.js::route_walk()	{d} · {m} phút đi bộ
strings.js::list_more()	Xem thêm {n} điểm
strings.js::tk_sites()	Vé {n} điểm
strings.js::wrong_wait()	Sai. Thử lại sau {n}s.
strings.js::booth_nearest()	Quầy {name} · cách {d}
strings.js::org_journeys_count()	{n} hành trình
strings.js::earned()	+{n} điểm
strings.js::spotlight_hint()	Check-in tại đây nhận +{n} điểm.
strings.js::pts_more()	Cần thêm {n} điểm
strings.js::reward_at()	Mốc {n} điểm
strings.js::pt_all()	check-in đủ {n} điểm
strings.js::walk()	{d} · {m} phút đi bộ
strings.js::closing_soon()	Đóng trong {m} phút
strings.js::opens_at()	Mở lúc {t}
strings.js::org_quota()	Ghi hôm nay: {n} dòng — {pct}% hạn mức miễn phí/ngày
strings.js::org_updated()	Cập nhật: {t}
strings.js::org_rewards_hint()	Mốc điểm tăng dần, tối đa {n}.
strings.js::org_download_json()	Tải {f}
strings.js::org_problems()	{n} lỗi - cần sửa trước khi tải
strings.js::org_bad_file()	Lỗi file: {m}
