path	vi	zh
destinations.json::[18].quizBank[1].question	Tại sao Hội quán Phước Kiến và nhiều hội quán khác của người Hoa lại thờ bà Thiên Hậu? Gợi ý: Hãy quan sát những bức tranh và mô hình trong hội quán	福建会馆与许多华人会馆为何供奉天后？提示：请留意馆内的壁画与模型
destinations.json::[18].quizBank[1].options[0]	Để tưởng nhớ công dẹp giặc	为纪念平寇之功
destinations.json::[18].quizBank[1].options[1]	Để cầu bình an khi đi biển	为祈求航海平安
destinations.json::[18].quizBank[1].options[2]	Để cầu tài lộc	为求财禄
destinations.json::[18].quizBank[1].explain	Ngay sau khi bước vào tiền điện, du khách sẽ thấy ở phía tường Đông là bích họa Thiên Hậu Thánh Mẫu cùng đệ tử cầm đèn lồng vượt sóng gió đến cứu người bị nạn và ở phía tường Tây là bích họa Lục Tánh Vương Gia cưỡi ngựa xung trận. Bên trong chính điện có mô hình thương thuyền được trang trí kỳ công với một gian thờ Thiên Hậu trên thuyền.	一进前殿，东墙是天后圣母与弟子提灯破浪、驰援遇难者的壁画，西墙则是六姓王爷骑马出阵的壁画。正殿内有装饰考究的商船模型，船上还设一间天后神龛。
destinations.json::[18].quizBank[2].question	Hai vị thần được thờ phụng trong chính điện cùng Bà Thiên Hậu là ai?	正殿中与天后同祀的两位神是谁？
destinations.json::[18].quizBank[2].options[0]	Thanh Long - Bạch Hổ	青龙·白虎
destinations.json::[18].quizBank[2].options[1]	Thần Đồ - Uất Lũy	神荼·郁垒
destinations.json::[18].quizBank[2].options[2]	Thiên Lý Nhãn - Thuận Phong Nhĩ	千里眼·顺风耳
destinations.json::[18].quizBank[2].explain	Hai vị thần phò tá Thiên Hậu Thánh Mẫu là Thiên Lý Nhãn và Thuận Phong Nhĩ. Thiên Lý Nhãn có thể nhìn thấy mọi việc ở khoảng cách rất xa, giúp Bà phát hiện tàu thuyền gặp nạn trên biển, còn Thuận Phong Nhĩ có thể nghe được tiếng kêu cứu từ muôn nơi theo chiều gió.	辅佐天后圣母的两位神是千里眼与顺风耳。千里眼能视极远之事，助她发现海上遇难的船只；顺风耳能顺风听见四面八方的呼救。
destinations.json::[18].quizBank[3].question	Những đôi giày trong tủ kính dành cho ai?	玻璃柜里的这些鞋是给谁穿的？
destinations.json::[18].quizBank[3].options[0]	Những người phụ nữ bó chân gót sen	缠足的妇女
destinations.json::[18].quizBank[3].options[1]	Tượng thờ các vị thần	神像
destinations.json::[18].quizBank[3].options[2]	Vũ công múa thủy tụ	舞水袖的舞者
destinations.json::[18].quizBank[3].explain	Tủ kính trưng bày các vật dụng của người Hoa xưa. Những đôi giày trong tủ được dùng khi bó chân gót sen. Tập tục này bắt đầu từ thời nhà Tống, được coi là biểu tượng của cái đẹp và địa vị. Đến thời nhà Thanh, tuy lệnh cấm được ban hành, song ít người tuân thủ. Đến thế kỷ XIX, có khoảng một nửa phụ nữ Trung Hoa thực hành bó chân.	玻璃柜陈列旧时华人的日常器物。柜中的鞋是缠足所穿。此俗起于宋代，被视为美与身份的象征；清代虽下禁令，遵行者寥寥。至十九世纪，约有一半中国妇女缠足。
destinations.json::[18].quizBank[4].question	Bức tranh vẽ những đứa trẻ này được tìm thấy ở đâu?	这幅画着孩童的画在哪里？
destinations.json::[18].quizBank[4].options[0]	Nhà Đông	东屋
destinations.json::[18].quizBank[4].options[1]	Án thờ 3 bà Chúa Sanh thai và 12 bà mụ	三位送子娘娘与十二婆姆的神案
destinations.json::[18].quizBank[4].options[2]	Án thờ Lục Tánh vương gia	六姓王爷的神案
destinations.json::[18].quizBank[4].explain	Ba bà Chúa Sanh thai (Tam Tiêu Nương Nương) và 12 bà mụ lo việc tạo hình hài, ban phước, bảo trợ cho việc cầu tự (cầu con), thai kỳ bình an và mẹ tròn con vuông. Tượng 12 bà mụ thường khắc họa các vị trong các động tác chăm sóc, bồng bế trẻ thơ khác nhau.	三位送子娘娘（三霄娘娘）与十二婆姆掌塑形、赐福，护佑求子、安胎与母子平安。十二婆姆的塑像常作照看、怀抱婴孩的各种姿态。
destinations.json::[18].short	Hội quán tráng lệ nhất với những chi tiết trang trí tinh xảo làm từ gốm sứ và nhiều chất liệu khác.	以瓷片与多种材料精雕细作，是最富丽的一座会馆。
destinations.json::[18].highlights[0]	Cổng tam quan uy nghi	气派的三关门
destinations.json::[18].highlights[1]	Mô hình thương thuyền vượt biển sống động	栩栩如生的越海商船模型
destinations.json::[18].highlights[2]	Hoành phi và liễn đối do Ngô Lỗ, Trạng nguyên cuối cùng của lịch sử Tuyền Châu (Phước Kiến), cúng vào năm 1897	1897年由泉州（福建）历史上最后一位状元吴鲁敬献的横匾与对联
destinations.json::[19].name	Hội quán Hải Nam	海南会馆
destinations.json::[19].description	Sinh sau đẻ muộn và hiếm khi được ngợi ca là tráng lệ hay lộng lẫy, Hội quán Hải Nam như một cuốn sử phong phú khiến người ta ngỡ ngàng một khi bước vào trong.	建成较晚，也少被称作富丽堂皇，海南会馆却像一部内容丰厚的史书，一进门便令人吃惊。
destinations.json::[19].quizBank[0].question	Trong hai con lân này, con nào là lân đực và con nào là lân cái?	这两只麒麟，哪只是雄、哪只是雌？
destinations.json::[19].quizBank[0].options[0]	Cả A và B đều là lân đực	A、B 都是雄的
destinations.json::[19].quizBank[0].options[1]	A là lân cái, B là lân đực	A 是雌，B 是雄
destinations.json::[19].quizBank[0].options[2]	A là lân đực, B là lân cái	A 是雄，B 是雌
destinations.json::[19].quizBank[0].explain	Thông thường, lân đực được khắc họa trong tư thế “lân hí cầu” với quả cầu tượng trưng cho mặt trời dưới chân, còn lân cái trong tư thế "lân giáo tử", dùng chân trước ôm ngang lưng con lân con. Tượng lân cũng được sắp đặt theo nguyên tắc “nam tả nữ hữu”, trong đó lân cái nằm ở phía tay phải nhìn từ trong chính điện ra. Bức tường phía ngoài hội quán cũng có hai bức phù điêu lân mang bát bảo và kỳ mang ám bát tiên.	通常雄麟作“麟戏球”状，足下有球象征太阳；雌麟作“麟教子”状，以前爪横抱幼麟。麟像的摆放也依“男左女右”，从正殿向外看，雌麟在右手边。会馆外墙另有两幅浮雕：麟带八宝、麒带暗八仙。
destinations.json::[19].quizBank[1].question	Tại sao Hội quán Hải Nam lại thờ 108 vị Chiêu Ứng Công?	海南会馆为何供奉一百零八位昭应公？
destinations.json::[19].quizBank[1].options[0]	Tưởng nhớ oai linh 108 vị anh hùng Lương Sơn Bạc đứng lên chống lại cái ác	为纪念梁山泊一百零八位好汉抗恶之威
destinations.json::[19].quizBank[1].options[1]	Tưởng nhớ công ơn 108 tiền hiền đã đặt nền móng cho sự phát triển của bang Hải Nam	为纪念奠定海南帮发展基业的一百零八位先贤
destinations.json::[19].quizBank[1].options[2]	Tưởng nhớ vong linh 108 vị thương buôn chết oan đã hiển linh phù hộ thuyền bè trên biển	为纪念一百零八位冤死后显灵护佑海上船只的商人
destinations.json::[19].quizBank[1].explain	Mùa hạ năm 1851, 108 thương buôn người Hải Nam đã bị một số quan binh triều Nguyễn sát hại vì coi là cướp biển. Vua Tự Đức khi biết chuyện đã minh oan và sắc phong cho các vị là Chiêu Ứng Anh Liệt. Cặp liễn đối hai bên hương án chính có nghĩa: Khí khái tụ thành thần, theo dấu anh linh do oan trái; Đức độ xây nên miếu, thương kẻ đồng hương ở chốn xa.	1851年夏，一百零八位海南商人被阮朝部分官兵误当海盗杀害。嗣德帝得知后为其昭雪，敕封“昭应英烈”。主香案两侧对联意为：气概凝聚而成神，循冤屈所留的英灵之迹；德行积累而立庙，怜远方同乡之人。
destinations.json::[19].quizBank[2].question	Bao lam (cửa võng, rèm gỗ) ở cửa chính điện có đề tài gì?	正殿门上的宝帘（木雕门楣饰）取什么题材？
destinations.json::[19].quizBank[2].options[0]	Tùng thử bồ đào (sóc và dây nho)	松鼠葡萄（松鼠与葡萄藤）
destinations.json::[19].quizBank[2].options[1]	Hoa - điểu (hoa và chim muông)	花鸟（花与禽鸟）
destinations.json::[19].quizBank[2].options[2]	Tùng - hạc	松鹤（松与鹤）
destinations.json::[19].quizBank[2].explain	Tùng Thử Bồ Đào (松鼠葡萄) là đề tài kinh điển biểu trưng cho phú quý – sung túc – vạn sự hưng long. Hình ảnh sóc trèo nho thể hiện sự sinh sôi – đông con cháu, là lời chúc cát tường cho gia đạo thịnh vượng.	松鼠葡萄是象征富贵、丰足、万事兴隆的经典题材。松鼠攀葡萄寓意繁衍多子多孙，是祝家道兴旺的吉祥语。
destinations.json::[19].short	Hội quán giản dị song lại mang những chi tiết độc nhất, chứa đựng bề dày văn hoá Trung Hoa.	朴素却拥有独一无二的细部，藏着深厚的中华文化。
destinations.json::[19].highlights[0]	Khúc bi hùng ca của 108 vị Chiêu Ứng Công	一百零八位昭应公的悲壮之歌
destinations.json::[19].highlights[1]	Hương án chính thếp vàng, được chạm lộng tinh vi với nhiều đề tài văn hoá	贴金的主香案，透雕精细，题材丰富
destinations.json::[19].highlights[2]	Bộ cửa vẽ lại điển tích “Nhị thập tứ hiếu”	绘有“二十四孝”故事的门扇
destinations.json::[19].highlights[3]	Kiến trúc song mái độc nhất tại Hội An	会安独一无二的双屋顶结构
destinations.json::[20].name	Hội quán Triều Châu	潮州会馆
destinations.json::[20].description	Hội quán Triều Châu sinh động với các chi tiết chạm gỗ trứ danh của người Tiều. Đề tài trang trí phong phú, tạo hình sáng tạo.	潮州会馆以潮人闻名的木雕细部而生动，装饰题材丰富，造型富于创意。
destinations.json::[20].quizBank[0].question	Bạn có thể đi tìm chú ngựa này không? Người bạn của chú có bộ lông màu gì?	你能找到这匹马吗？它的同伴是什么毛色？
destinations.json::[20].quizBank[0].options[0]	Trắng	白色
destinations.json::[20].quizBank[0].options[1]	Đen	黑色
destinations.json::[20].quizBank[0].options[2]	Nâu	棕色
destinations.json::[20].quizBank[1].question	Hình ảnh này là đặc trưng của mùa nào?	这幅图代表哪个季节？
destinations.json::[20].quizBank[1].options[0]	Hạ	夏
destinations.json::[20].quizBank[1].options[1]	Thu	秋
destinations.json::[20].quizBank[1].options[2]	Xuân	春
destinations.json::[20].quizBank[1].explain	Ở Trung Quốc, tứ quý danh hoa là "Xuân Lan - Hạ Hà - Thu Cúc - Đông Mai". Trong đó "Lan" là lan kiếm, "Hà" là sen, "Cúc" vẫn là cúc, còn "Mai" là mơ.	在中国，四季名花为“春兰—夏荷—秋菊—冬梅”。其中“兰”指剑兰，“荷”即莲，“菊”仍是菊，“梅”则是梅花。
destinations.json::[20].quizBank[2].question	Trên phần mái tiền điện có những đề tài trang trí gì?	前殿屋顶上有哪些装饰题材？
destinations.json::[20].quizBank[2].options[0]	Lưỡng long tranh bình hồ lô, ông Nhật - bà Nguyệt, các linh thú	双龙争葫芦、日神与月神、诸灵兽
destinations.json::[20].quizBank[2].options[1]	Lưỡng long triều dương, cá chép vượt long môn, bát tiên quá hải	双龙朝阳、鲤鱼跃龙门、八仙过海
destinations.json::[20].quizBank[2].options[2]	Lưỡng long tranh châu, lục quốc phong tướng	双龙抢珠、六国封将
destinations.json::[20].quizBank[2].explain	Bên cạnh các đồ án lưỡng long hay cá chép vượt long môn, đồ án bát tiên quá hải cũng rất được ưa chuộng trong các kiến trúc của người Hoa. Bát tiên quá hải (tám vị tiên vượt biển) kể về hành trình 8 vị tiên dùng phép thuật và pháp bảo để vượt qua đại dương. Tất cả những pháp khí mà 8 vị tiên sử dụng gọi chung là Ám bát tiên, cũng là một đề tài trang trí phổ biến. Bảo vật ngư cổ của Trương Quả Lão nói về mạng sống của con người. Lã Động Tân mang bảo kiếm có thể ngăn cản tà ma. Cây sáo của Hàn Tương Tử có thể khiến vạn vật sinh sôi và nảy nở. Hà Tiên Cô có hoa sen có thể tu thân dưỡng tính. Hồ lô của Thiết Quản Lý có thể cứu giúp chúng sanh. Quạt của Hán Chung Ly có thể làm hồi sinh. Tấm ngọc của Tào Quốc Cửu có thể làm mọi vật trở nên trong sạch. Giỏ của Lam Thái Hòa có thể quảng thông thần minh.	除了双龙、鲤鱼跃龙门等图案，八仙过海也是华人建筑中极受喜爱的题材。八仙过海讲八位仙人以法术与法宝渡过大海。八位仙人所用之器合称“暗八仙”，也是常见装饰题材。张果老的鱼鼓述说人之性命；吕洞宾的宝剑可挡邪魔；韩湘子的笛可令万物生长；何仙姑的荷花可修身养性；铁拐李的葫芦可救度众生；汉钟离的扇可使人回生；曹国舅的玉板可使万物洁净；蓝采和的花篮可广通神明。
destinations.json::[20].short	Hội quán rực rỡ nhất với các họa tiết trang trí gỗ phức tạp có tạo hình phong phú trong tầm mắt.	眼前最为绚烂的会馆：木雕纹样繁复，造型丰富。
destinations.json::[20].highlights[0]	Trang trí khác nhau ở hai bên vì kèo	两侧屋架装饰各不相同
destinations.json::[20].highlights[1]	Khám thờ và bao lam chạm nhiều điển tích	雕有多种典故的神龛与宝帘
destinations.json::[20].highlights[2]	Hệ cửa chạm gỗ và vẽ kính sáng tạo	木雕与玻璃彩绘并用、别具创意的门扇
destinations.json::[21].name	Đình Cẩm Phô	锦铺亭
destinations.json::[21].description	Đình Cẩm Phô là nơi ghi dấu rõ nhất tinh thần cởi mở và chan hoà của thương cảng này. Liễn đối trước Hương Hiền tự ghi: “Lễ nhạc uy nghi kính như thần tại. Âu ca cổ vũ lạc tại nhân hòa”, có nghĩa: Lễ nghi và âm nhạc uy nghiêm, lòng thành kính như thần linh đang hiện diện. Hát ca và múa trống tưng bừng, niềm vui thực sự nằm ở sự hòa hợp của lòng người.	锦铺亭最清楚地留下了这座商港开放与和睦的精神。香贤祠前的对联写道：“礼乐威仪敬如神在；讴歌鼓舞乐在人和。”意为：礼仪与音乐庄严，恭敬如神灵在座；歌唱与鼓舞热烈，真正的欢乐在于人心和睦。
destinations.json::[21].quizBank[0].question	Mái của phương đình được trang trí với bao nhiêu con phượng?	方亭的屋顶上装饰着几只凤？
destinations.json::[21].quizBank[0].options[0]	9 con	9 只
destinations.json::[21].quizBank[0].options[1]	10 con	10 只
destinations.json::[21].quizBank[0].options[2]	8 con	8 只
destinations.json::[21].quizBank[0].explain	Đình có một hệ thống các con giống được tạo hình rất sinh động và độc đáo trang trí cho các bộ phận kiến trúc. Nổi bật là 9 hình chim phượng trên phương đình. Trong phong thuỷ, phượng gắn liền với hành Hỏa, mùa hạ và hướng Nam, mang lại may mắn, cát khí và cơ hội phát triển. Cơ thể của phượng đại diện cho 5 phẩm chất cao quý gồm: đức hạnh (ngay thẳng), lòng nhân đạo (lương thiện), sự công bằng, tính đáng tin (chung thủy) và sự khoan đại.	亭中各处建筑构件上都有形象生动而独特的瑞兽，其中最醒目的是方亭上的九只凤。风水中，凤属火，配夏季与南方，主吉庆与发展之机。凤之身则代表五种高贵品德：德行（正直）、仁道（良善）、公正、诚信（忠贞）与宽大。
destinations.json::[21].quizBank[1].question	Tại sao Đình Cẩm Phô lại có tên Cẩm Phô Hương Hiền?	锦铺亭为何又名“锦铺香贤”？
destinations.json::[21].quizBank[1].options[0]	Đình lưu giữ các ký ức từ xa xưa	因为亭中保存着远古的记忆
destinations.json::[21].quizBank[1].options[1]	Đình có thờ các vị tiền hiền, hậu hiền làng Cẩm Phô	因为亭中供奉锦铺村的前贤与后贤
destinations.json::[21].quizBank[1].options[2]	Đình là nơi tổ chức sinh hoạt văn hoá truyền thống	因为亭是举办传统文化活动的场所
destinations.json::[21].quizBank[1].explain	Đình trước đây thờ bà Đại Càn và các vị thần sông nước, về sau kết hợp thờ các vị tiền hiền và hậu hiền của làng Cẩm Phô. Trong đình là những hoành phi, liễn đối thể hiện đạo lý “uống nước nhớ nguồn” như “Ẩm hà tư nguyên” (phiên bản chữ Hán của “uống nước nhớ nguồn”) hay “Quang tiền dụ hậu” mang nghĩa: rạng rỡ đời trước, sung túc đời sau.	此亭旧时供奉大乾娘娘与水神，后来兼祀锦铺村的前贤、后贤。亭内的横匾与对联多写“饮水思源”之理，如“饮河思源”，又如“光前裕后”，意为：光耀前人，裕及后代。
destinations.json::[21].short	Kết tinh của các giá trị văn hoá Việt – sự cởi mở và chan hoà khiến cho cảng thị phồn vinh.	越南文化价值的结晶——正是这份开放与和睦，让港城繁盛。
destinations.json::[21].highlights[0]	Các liễn đối truyền tải chiều sâu văn hoá Việt	传递越南文化深意的对联
destinations.json::[21].highlights[1]	Các con giống trang trí trên phần mái	装饰屋顶的各种瑞兽
destinations.json::[22].name	Tụy Tiên Đường Minh Hương	萃先堂（明乡）
destinations.json::[22].description	Hai chữ Minh Hương (明香) vốn có nghĩa giữ gìn hương hỏa nhà Minh, sau đổi thành 明鄉 để chỉ làng của những người gốc nhà Minh. Tụy Tiên Đường là một di tích tiêu biểu của cộng đồng Minh Hương	“明香”二字本意为守明朝香火，后改作“明乡”，指明朝遗民之乡。萃先堂正是明乡社群的代表性古迹。
destinations.json::[22].quizBank[0].question	Con hạc này đang đứng trên lưng con vật nào?	这只鹤站在什么动物的背上？
destinations.json::[22].quizBank[0].options[0]	Cá	鱼
destinations.json::[22].quizBank[0].options[1]	Rùa	龟
destinations.json::[22].quizBank[0].options[2]	Cua	蟹
destinations.json::[22].quizBank[0].explain	Rùa đội hạc là một biểu tượng văn hóa và tâm linh quen thuộc trong các ngôi đình, chùa và trên bàn thờ gia tiên của người Việt. Nhiều di tích của người Minh Hương có biểu tượng này từ xưa, bởi lẽ người Minh Hương từ cộng đồng người Hoa di trú đã hội nhập vào xã hội và văn hoá Việt Nam và trở thành những người Việt thực thụ.	龟驮鹤是越南亭、寺与家庭祖先香案上常见的文化与精神象征。许多明乡遗迹自古便有此象征，因为出自华人移民社群的明乡人已融入越南社会与文化，成为真正的越南人。
destinations.json::[22].quizBank[1].question	Con vật này đang mang gì trên lưng?	这只神兽背上驮着什么？
destinations.json::[22].quizBank[1].options[0]	Những cuộn dây	一卷卷绳索
destinations.json::[22].quizBank[1].options[1]	Thuốc thang	汤药
destinations.json::[22].quizBank[1].options[2]	Những cuốn thư	卷书
destinations.json::[22].quizBank[1].explain	Hình trên cửa là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	门上之图是龙马河图的图案化。传说伏羲之时，黄河出现龙马，身青而有赤纹，背负河图（又称马图），乃上天赐予君王治国之书。
destinations.json::[22].quizBank[2].question	Nơi này thờ phụng ai?	此处供奉何人？
destinations.json::[22].quizBank[2].options[0]	Những người có công với làng Minh Hương ở Hội An	对会安明乡村有功之人
destinations.json::[22].quizBank[2].options[1]	Tướng Trần Thượng Xuyên và Dương Ngạn Địch	陈上川与杨彦迪两位将军
destinations.json::[22].quizBank[2].options[2]	Phúc Đức chính thần	福德正神
destinations.json::[22].quizBank[2].explain	Trong tên Tuỵ Tiên Đường, “tuỵ” có nghĩa là tụ họp, còn “tiên” là người xưa quá vãng. Văn bia tại đình có ghi: Khi xây dựng một làng tất phải nhớ công lao của tiền nhân. Người đời không thể quên đức tốt đã truyền lưu. Văn bia cũng giải thích rằng các vị được thờ nơi đây trước là cựu thần nhà Minh. Vận nhà Minh đã qua, lòng họ không nhận hai vua nên từ quan, đổi tên họ, lánh nạn đến đất phương nam, rồi họp người Tàu lại tại xứ nam, chọn chữ Minh để giữ quốc hiệu.	萃先堂之名，“萃”为聚集，“先”为已故的前人。堂中碑文写道：建一村必念前人之功；世人不可忘所传之美德。碑文又说，此处所祀者原为明朝旧臣。明运既终，他们不事二君，遂辞官改姓，避难南来，又在南土聚合华人，取“明”字以存国号。
destinations.json::[22].short	Mang đậm giá trị văn hóa của những người gốc Hoa mang thân phận người dân Đại Nam dưới triều Nguyễn	浓厚承载着阮朝时期以大南百姓身分生活的华裔文化
destinations.json::[22].highlights[0]	Kiến trúc gỗ được thực hiện bởi các nghệ nhân làng Kim Bồng	由金蓬村匠人完成的木构建筑
destinations.json::[22].highlights[1]	Sự hòa trộn văn hóa Việt và Trung	越南与中国文化的交融
destinations.json::[22].highlights[2]	Câu chuyện của cộng đồng người Hoa đã Việt hoá.	一个已越南化的华人社群的故事
destinations.json::[23].name	Đình Hội An	会安亭
destinations.json::[23].description	Đình không chỉ gây ấn tượng thị giác mạnh mẽ mà còn là một trải nghiệm khám phá thú vị, đầy bất ngờ.	此亭不仅视觉印象强烈，更是一段充满意外的有趣探索。
destinations.json::[23].quizBank[0].question	Đình Hội An còn có tên gọi nào khác?	会安亭还有什么别名？
destinations.json::[23].quizBank[0].options[0]	Đình Voi Ré	象鸣亭（Đình Voi Ré）
destinations.json::[23].quizBank[0].options[1]	Đình Voi Phục	象伏亭（Đình Voi Phục）
destinations.json::[23].quizBank[0].options[2]	Đình Ông Voi	象爷亭（Đình Ông Voi）
destinations.json::[23].quizBank[0].explain	Tên gọi đình Ông Voi xuất phát từ cặp tượng voi quỳ phục đặt ở sân trước. Hai pho tượng có kích thước lớn, chạm khắc tinh xảo, khoác lễ phục với nhiều chi tiết trang trí. Hình tượng voi không chỉ gây ấn tượng thị giác mà còn gắn liền với biểu tượng sức mạnh, trí tuệ trong văn hóa - tín ngưỡng dân gian. Trong Phật giáo, voi cũng là một biểu tượng của sức mạnh tâm thức, gắn với nhiều điển tích.	“象爷亭”之名，源自前院一对跪伏的石象。两尊塑像体量高大、雕工精细，披着装饰繁复的礼衣。象的形象不仅视觉醒目，在民间文化与信仰中也与力量、智慧相连；在佛教中，象亦是心力的象征，见于诸多典故。
destinations.json::[23].quizBank[1].question	Đây là con vật gì?	这是什么动物？
destinations.json::[23].quizBank[1].options[0]	Long mã	龙马
destinations.json::[23].quizBank[1].options[1]	Sư tử	狮子
destinations.json::[23].quizBank[1].options[2]	Lân	麒麟
destinations.json::[23].quizBank[1].explain	Hình trên bình phong là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	屏风上的图是龙马河图的图案化。传说伏羲之时，黄河出现龙马，身青有赤纹，背负河图（马图），乃天赐君王治国之书。
destinations.json::[23].quizBank[2].question	Bạn đã lên ban thờ trên tầng hai chưa? Hãy đi tìm lối lên tầng. Trên mái nhà đối diện là hoạ tiết gì?	你上过二楼的神案了吗？先找到上楼的路。对面屋顶上是什么图案？
destinations.json::[23].quizBank[2].options[0]	Cá và bình hồ lô	鱼与葫芦
destinations.json::[23].quizBank[2].options[1]	Rồng dây và mặt trời	草龙与太阳
destinations.json::[23].quizBank[2].options[2]	Rồng và bình hồ lô	龙与葫芦
destinations.json::[23].short	Tưởng không bất ngờ, nhưng bất ngờ không tưởng với đường đi lên hậu tẩm	看似不会有惊喜，通往后寝的那条路却出人意料。
destinations.json::[23].highlights[0]	Hình tượng trang trí ấn tượng ở sân trước	前院引人注目的装饰造像
destinations.json::[23].highlights[1]	Hậu tẩm hai tầng độc đáo – view phố cổ có một không hai	独具一格的两层后寝——独一无二的古城视野
destinations.json::[24].name	Điểm tham quan trình nghề Xí Mà	黑芝麻糊（xí mà）技艺展示点
destinations.json::[24].description	Chè mè đen từng theo những gánh hàng rong đi khắp phố cổ từ sáng sớm. Ở điểm trình nghề, khách xem cách xay mè, nấu chè và nghe vì sao bát chè này vừa là món ăn vừa là thang thuốc.	黑芝麻糊曾随着挑担的小贩，从清早走遍古城。在展示点，客人可看磨芝麻、煮糊的过程，并听这一碗为何既是吃食也是药。
destinations.json::[24].quizBank[0].question	Thành phần nào sau đây không có trong chè Xí Mà?	以下哪一种不是黑芝麻糊的配料？
destinations.json::[24].quizBank[0].options[0]	Thanh địa	熟地黄
destinations.json::[24].quizBank[0].options[1]	Bột sắn	木薯粉
destinations.json::[24].quizBank[0].options[2]	Rau má	雷公根（积雪草）
destinations.json::[24].quizBank[0].explain	Nguyên liệu chủ yếu để làm xí mà chính là mè đen, ngoài ra còn có các loại: bột khoai, thanh địa, rau má, rau mơ, và đường, những thứ này toàn là những nguyên liệu sẵn có của địa phương, duy chỉ có thanh địa là một vị thuốc của Đông y (thuốc Bắc) phải mua ở tiệm thuốc.	xí mà 的主料是黑芝麻，此外还有薯粉、熟地、雷公根、鱼香菜与糖。这些多为本地易得之物，唯有熟地属中药，须到药铺购买。
destinations.json::[24].quizBank[1].question	Tên xí mà có nguồn gốc từ đâu?	“xí mà”这个名字从何而来？
destinations.json::[24].quizBank[1].options[0]	Phương ngữ miền Trung	中部方言
destinations.json::[24].quizBank[1].options[1]	Tiếng Nhật	日语
destinations.json::[24].quizBank[1].options[2]	Tiếng Quảng Đông	粤语（广东话）
destinations.json::[24].quizBank[1].explain	Xí mà (đọc lệch từ "chí mà phù") là một từ có gốc từ tiếng Quảng Đông (Trung Quốc), dùng để chỉ món chè mè đen (súp mè đen xay nhuyễn). Chí mà có nghĩa là mè đen và phù có nghĩa là xay nhuyễn.	xí mà 是“芝麻糊”的音变，源自粤语（中国广东），指把黑芝麻磨细煮成的甜汤。“芝麻”即黑芝麻，“糊”意为磨成细糊。
destinations.json::[24].short	Cơ hội học nấu món chè đặc trưng của Hội An khi đi du lịch	旅途中，亲手学做会安的招牌甜汤
destinations.json::[24].highlights[0]	Cách xay và nấu mè đen theo lối cũ	按旧法磨芝麻、煮糊
destinations.json::[24].highlights[1]	Các vị đi cùng mè đen: thanh địa, rau má, rau mơ	与黑芝麻同煮的配料：熟地、雷公根、鱼腥草类的鱼香菜
destinations.json::[24].highlights[2]	Tự tay nấu và nếm một bát chè nóng	亲手煮一碗，趁热尝尝
tours.json::[0].title	Vượt biển trèo non	跨海越山
tours.json::[0].short	Hành trình của những người vượt biển đến Hội An	渡海而来的人们抵达会安的旅程
tours.json::[0].description	Từ chuyện 108 thương nhân bị xử oan đến khát khao những chuyến hải trình sóng yên biển lặng, chuyến đi khám phá trải nghiệm của những thương thuyền đến cảng thị Hội An đồng thời giới thiệu đặc trưng kiến trúc của các hội quán khác nhau của cộng đồng Hoa kiều.	从108位商人被冤杀的往事，到对风平浪静的祈愿，这条路线追随商船抵达会安港的经历，同时呈现华人各会馆在建筑上的不同特色。
tours.json::[0].voucher	Voucher quà tặng (chốt tên sau)	礼品代金券（名称待定）
tours.json::[1].title	Một tấc lòng son	一寸丹心
tours.json::[1].short	Cuộc đời, sự nghiệp và tư tưởng của trí thức Hội An	会安文人的生平、事业与思想
tours.json::[1].description	Dọc theo hành trình này, du khách sẽ khám phá cuộc đời, sự nghiệp và tư tưởng của các trí thức ở Hội An: từ tấm gương trung hiếu tiết nghĩa được đông đảo nho sĩ ở các vùng phía Nam Trung Hoa và khắp Việt Nam thờ phụng, cho đến quan lại thời nhà Nguyễn và thế hệ chí sĩ Duy Tân.	沿着这条路线，你会遇见会安文人的生平、事业与思想：从华南与越南各地儒生共同奉祀的忠义节操典范，到阮朝的官员，再到维新一代的志士。
tours.json::[1].voucher	Voucher quà tặng (chốt tên sau)	礼品代金券（名称待定）
tours.json::[2].title	Lạc tại nhân hòa	乐在人和
tours.json::[2].short	Cuộc bộ hành khám phá sự đa dạng văn hoá của Hội An	徒步走进会安的多元文化
tours.json::[2].description	Bắt đầu từ văn hóa Nhật Bản, Trung Hoa cho tới truyền thống Việt Nam, tuyến đường này tôn vinh sự phong phú về văn hóa của Hội An, đồng thời thể hiện nét chan hòa, cởi mở đặc trưng của một phố cảng - nơi nhiều sắc thái văn hóa đồng hành và phát triển.	从日本、中国的文化到越南的传统，这条路线致敬会安文化的丰厚，也呈现一座港城特有的包容与开放——多种文化在此并肩生长。
tours.json::[2].voucher	Voucher quà tặng (chốt tên sau)	礼品代金券（名称待定）
tours.json::[3].title	Ngày vàng Phố Hội	会安的黄金岁月
